"champName","laneRate","winRate","pickRate","banRate","gamesPlayed"
"Twisted Fate",1.7,45.5,0.1,0.96,15439
"LeBlanc",0.99,46.27,0.06,12.03,8619
"Alistar",0.91,43.27,0.03,0.52,4793
"Sivir",0.33,38.39,0.01,0.43,1873
"Nunu",1.31,30.18,0.04,0.44,6647
"Miss Fortune",0.25,39.06,0.03,4.38,5272
"Ashe",0.73,43.65,0.12,3.29,17887
"Morgana",0.7,49.17,0.09,32.3,13239
"Zilean",1.91,51.66,0.06,0.79,9298
"Evelynn",0.08,31.33,0,6.99,581
"Twitch",0.73,49.49,0.03,0.88,5340
"Amumu",1.17,49.73,0.07,1.17,10536
"Sona",0.4,42.38,0.01,0.23,2284
"Janna",0.66,42.81,0.03,0.23,4144
"Taric",1.59,44.07,0.04,0.45,6244
"Caitlyn",0.63,44.04,0.12,15.45,17966
"Blitzcrank",0.17,34.31,0.02,29.53,2775
"Katarina",1.33,48.68,0.1,7.8,14923
"Jarvan IV",1.73,44.78,0.09,0.72,13428
"Elise",0.26,42.67,0.01,7.84,1732
"Orianna",0.95,50.07,0.05,0.73,7398
"Brand",1.07,47.61,0.08,7.6,11678
"Lee Sin",0.47,41.5,0.08,18.7,12242
"Ezreal",0.52,43.68,0.16,17.35,25254
"Leona",0.36,42.07,0.04,22.75,5848
"Lux",0.41,46.81,0.07,4.72,10698
"Xerath",0.52,47.11,0.03,1.76,4256
"Ahri",1.09,50.17,0.07,2.6,11453
"Fizz",1.7,47.9,0.14,20.2,20695
"Varus",0.39,42.49,0.03,11.5,4457
"Nautilus",1.3,47.51,0.15,23.29,23103
"Ziggs",1.78,47.19,0.05,0.21,6959
"Lulu",1.2,47.8,0.12,5.65,18257
"Draven",1.61,49.41,0.08,7.29,11964
"Kha'Zix",1.1,46.21,0.05,1.71,7881
"Syndra",1.22,49.06,0.1,6.55,14755
"Zoe",0.88,46.23,0.03,2.63,5055
"Zyra",0.53,46.65,0.02,2.19,3698
"Kai'Sa",0.36,41.13,0.05,2.27,7965
"Vel'Koz",1.46,51.97,0.08,1.3,12474
"Taliyah",0.97,43.59,0.01,0.05,1287
"Braum",0.4,34.98,0.01,0.75,1984
"Jhin",0.62,47.67,0.09,5.04,14292
"Kindred",0.93,43.7,0.02,0.38,3213
"Jinx",0.2,43.27,0.02,1.67,3598
"Senna",1.11,47.56,0.15,7.81,23530
