"MiddleRisk2.champName","MiddleRisk2.winRate.x","MiddleRisk2.gamesPlayed.x","MiddleRisk2.gamesWon.x","MiddleRisk2.winRate.y","MiddleRisk2.gamesPlayed.y","MiddleRisk2.gamesWon.y","MiddleRisk2.HOlessequal","MiddleRisk2.HOgreaterequal","MiddleRisk2.HOequal","MiddleRisk2.riskDifference","MiddleRisk2.riskLower","MiddleRisk2.riskUpper"
"Ahri",0.5149,1302158,670481,0.5163,1406992,726430,0.0106,0.9894,0.0212,-0.0014,-0.002,-8e-04
"Fizz",0.525,1359444,713708,0.5272,1498431,789973,1e-04,0.9999,2e-04,-0.0022,-0.0028,-0.0016
"Irelia",0.4523,570521,258047,0.4548,664663,302289,0.0027,0.9973,0.0054,-0.0025,-0.0034,-0.0016
"Kassadin",0.4994,784924,391991,0.5042,845606,426355,0,1,0,-0.0048,-0.0056,-0.004
"Katarina",0.5061,1276628,646101,0.5078,1443286,732901,0.0026,0.9974,0.0051,-0.0017,-0.0023,-0.0011
"Lucian",0.4756,249059,118452,0.4726,298471,141057,0.9866,0.0134,0.0269,0.003,0.0016,0.0044
"Lux",0.5113,874788,447279,0.5129,923434,473629,0.016,0.984,0.0319,-0.0016,-0.0023,-9e-04
"Mordekaiser",0.5218,218313,113916,0.5261,260795,137204,0.0015,0.9985,0.003,-0.0043,-0.0057,-0.0029
"Nocturne",0.5259,193049,101524,0.5301,197113,104490,0.0043,0.9957,0.0085,-0.0042,-0.0058,-0.0026
"Orianna",0.4906,702457,344625,0.4891,763594,373474,0.9652,0.0348,0.0697,0.0015,7e-04,0.0023
"Ryze",0.4558,622401,283690,0.4577,718847,329016,0.0138,0.9862,0.0276,-0.0019,-0.0028,-0.001
"Sylas",0.4858,884373,429628,0.4871,1101232,536410,0.0342,0.9658,0.0684,-0.0013,-0.002,-6e-04
"Talon",0.4911,989975,486177,0.4932,1145924,565170,0.0011,0.9989,0.0022,-0.0021,-0.0028,-0.0014
"Taric",0.6387,117258,74893,0.6338,67274,42638,0.9826,0.0174,0.0349,0.0049,0.0026,0.0072
"Veigar",0.5101,867265,442392,0.5084,930830,473234,0.9887,0.0113,0.0227,0.0017,0.001,0.0024
"Vel'Koz",0.5268,300374,158237,0.5236,408739,214016,0.9962,0.0038,0.0077,0.0032,0.002,0.0044
"Vladimir",0.5016,793027,397782,0.5034,951188,478828,0.0089,0.9911,0.0179,-0.0018,-0.0026,-0.001
"Wukong",0.55,81328,44730,0.544,124620,67793,0.9962,0.0038,0.0075,0.006,0.0038,0.0082
"Yasuo",0.4984,2338073,1165296,0.5041,2549903,1285406,0,1,0,-0.0057,-0.0062,-0.0052
"Zoe",0.4845,494483,239577,0.4812,642591,309215,0.9998,2e-04,5e-04,0.0033,0.0024,0.0042
