"MiddleRisk3.champName","MiddleRisk3.winRate.x","MiddleRisk3.gamesPlayed.x","MiddleRisk3.gamesWon.x","MiddleRisk3.winRate.y","MiddleRisk3.gamesPlayed.y","MiddleRisk3.gamesWon.y","MiddleRisk3.HOlessequal","MiddleRisk3.HOgreaterequal","MiddleRisk3.HOequal","MiddleRisk3.riskDifference","MiddleRisk3.riskLower","MiddleRisk3.riskUpper"
"Ahri",0.5163,1406992,726430,0.5121,1253351,641841,1,0,0,0.0042,0.0036,0.0048
"Camille",0.5101,64660,32983,0.5031,58941,29653,0.993,0.007,0.0139,0.007,0.0042,0.0098
"Cassiopeia",0.5112,684853,350097,0.5141,630188,323980,4e-04,0.9996,9e-04,-0.0029,-0.0038,-0.002
"Cho'Gath",0.511,168036,85866,0.5149,147202,75794,0.0144,0.9856,0.0288,-0.0039,-0.0057,-0.0021
"Fizz",0.5272,1498431,789973,0.5261,1379959,725996,0.9691,0.0309,0.0618,0.0011,5e-04,0.0017
"Heimerdinger",0.5201,161360,83923,0.5156,147626,76116,0.9938,0.0062,0.0124,0.0045,0.0027,0.0063
"Irelia",0.4548,664663,302289,0.448,625939,280421,1,0,0,0.0068,0.0059,0.0077
"Kassadin",0.5042,845606,426355,0.5067,766300,388284,8e-04,0.9992,0.0015,-0.0025,-0.0033,-0.0017
"Katarina",0.5078,1443286,732901,0.5051,1446172,730461,1,0,0,0.0027,0.0021,0.0033
"Kennen",0.5181,59154,30648,0.5128,50137,25710,0.96,0.04,0.08,0.0053,0.0023,0.0083
"LeBlanc",0.4782,1230953,588642,0.4796,1142016,547711,0.0155,0.9845,0.031,-0.0014,-0.002,-8e-04
"Lucian",0.4726,298471,141057,0.4675,351899,164513,1,0,0,0.0051,0.0039,0.0063
"Mordekaiser",0.5261,260795,137204,0.5294,247436,130993,0.0092,0.9908,0.0184,-0.0033,-0.0047,-0.0019
"Nocturne",0.5301,197113,104490,0.5266,191030,100596,0.9856,0.0144,0.0288,0.0035,0.0019,0.0051
"Ornn",0.5036,138457,69727,0.516,209325,108012,0,1,0,-0.0124,-0.0141,-0.0107
"Pantheon",0.4963,324559,161079,0.4916,456876,224600,1,0,0,0.0047,0.0036,0.0058
"Ryze",0.4577,718847,329016,0.4592,594693,273083,0.0429,0.9571,0.0858,-0.0015,-0.0024,-6e-04
"Swain",0.5368,148542,79737,0.529,134522,71162,1,0,0,0.0078,0.0059,0.0097
"Syndra",0.486,779182,378682,0.483,700013,338106,0.9999,1e-04,3e-04,0.003,0.0022,0.0038
"Talon",0.4932,1145924,565170,0.4914,1044550,513292,0.9961,0.0039,0.0078,0.0018,0.0011,0.0025
"Taric",0.6338,67274,42638,0.6504,73376,47724,0,1,0,-0.0166,-0.0192,-0.014
"Twisted Fate",0.4913,507966,249564,0.4884,478000,233455,0.998,0.002,0.004,0.0029,0.0019,0.0039
"Veigar",0.5084,930830,473234,0.5066,871613,441559,0.9922,0.0078,0.0157,0.0018,0.0011,0.0025
"Vladimir",0.5034,951188,478828,0.5049,887529,448113,0.0211,0.9789,0.0421,-0.0015,-0.0022,-8e-04
"Wukong",0.544,124620,67793,0.5389,122090,65794,0.9945,0.0055,0.011,0.0051,0.0031,0.0071
"Yasuo",0.5041,2549903,1285406,0.5019,2459830,1234589,1,0,0,0.0022,0.0018,0.0026
"Zed",0.4942,1846183,912384,0.493,1800350,887573,0.989,0.011,0.0219,0.0012,7e-04,0.0017
"Ziggs",0.5103,352623,179944,0.507,363444,184266,0.9974,0.0026,0.0052,0.0033,0.0021,0.0045
"Zoe",0.4812,642591,309215,0.4766,684769,326361,1,0,0,0.0046,0.0037,0.0055
