"MiddleRisk7.champName","MiddleRisk7.winRate.x","MiddleRisk7.gamesPlayed.x","MiddleRisk7.gamesWon.x","MiddleRisk7.winRate.y","MiddleRisk7.gamesPlayed.y","MiddleRisk7.gamesWon.y","MiddleRisk7.HOlessequal","MiddleRisk7.HOgreaterequal","MiddleRisk7.HOequal","MiddleRisk7.riskDifference","MiddleRisk7.riskLower","MiddleRisk7.riskUpper"
"Ahri",0.51,1481980,755810,0.5082,1491454,757957,0.999,0.001,0.0019,0.0018,0.0012,0.0024
"Annie",0.5047,451737,227992,0.502,522715,262403,0.9961,0.0039,0.0078,0.0027,0.0017,0.0037
"Azir",0.4545,404833,183997,0.4475,489053,218851,1,0,0,0.007,0.0059,0.0081
"Diana",0.5241,1812886,950134,0.5254,1810129,951042,0.0066,0.9934,0.0132,-0.0013,-0.0018,-8e-04
"Fizz",0.5204,1755089,913348,0.5182,1723624,893182,1,0,0,0.0022,0.0017,0.0027
"Heimerdinger",0.5102,230086,117390,0.5141,231611,119071,0.004,0.996,0.0081,-0.0039,-0.0054,-0.0024
"Irelia",0.4534,825960,374490,0.4575,777249,355591,0,1,0,-0.0041,-0.0049,-0.0033
"Kassadin",0.4978,1069585,532439,0.4943,1264006,624798,1,0,0,0.0035,0.0028,0.0042
"Katarina",0.5075,1677699,851432,0.5058,1642075,830562,0.999,0.001,0.002,0.0017,0.0012,0.0022
"LeBlanc",0.4755,1252196,595419,0.4728,1374770,649991,1,0,0,0.0027,0.0021,0.0033
"Lux",0.5128,1379509,707412,0.5091,1182407,601963,1,0,0,0.0037,0.0031,0.0043
"Malphite",0.5159,290360,149797,0.5137,298390,153283,0.9544,0.0456,0.0912,0.0022,9e-04,0.0035
"Neeko",0.5139,479848,246594,0.5118,483285,247345,0.9804,0.0196,0.0392,0.0021,0.0011,0.0031
"Pantheon",0.49,641092,314135,0.4868,602501,293297,0.9998,2e-04,4e-04,0.0032,0.0023,0.0041
"Qiyana",0.4633,423417,196169,0.4607,399879,184224,0.991,0.009,0.018,0.0026,0.0015,0.0037
"Quinn",0.5094,33866,17251,0.5166,35456,18317,0.0286,0.9714,0.0572,-0.0072,-0.011,-0.0034
"Sylas",0.4853,1584298,768860,0.4839,1430590,692263,0.9924,0.0076,0.0152,0.0014,8e-04,0.002
"Veigar",0.5095,1292359,658457,0.5115,1254040,641441,7e-04,0.9993,0.0014,-0.002,-0.0026,-0.0014
"Vel'Koz",0.5281,523486,276453,0.5307,534708,283770,0.0037,0.9963,0.0074,-0.0026,-0.0036,-0.0016
"Yasuo",0.502,2715251,1363056,0.5066,2685377,1360412,0,1,0,-0.0046,-0.005,-0.0042
