"MiddleRisk4.champName","MiddleRisk4.winRate.x","MiddleRisk4.gamesPlayed.x","MiddleRisk4.gamesWon.x","MiddleRisk4.winRate.y","MiddleRisk4.gamesPlayed.y","MiddleRisk4.gamesWon.y","MiddleRisk4.HOlessequal","MiddleRisk4.HOgreaterequal","MiddleRisk4.HOequal","MiddleRisk4.riskDifference","MiddleRisk4.riskLower","MiddleRisk4.riskUpper"
"Akali",0.4293,562135,241325,0.4354,643018,279970,0,1,0,-0.0061,-0.007,-0.0052
"Camille",0.5031,58941,29653,0.5155,57295,29536,0,1,0,-0.0124,-0.0153,-0.0095
"Cassiopeia",0.5141,630188,323980,0.5085,664956,338130,1,0,0,0.0056,0.0047,0.0065
"Cho'Gath",0.5149,147202,75794,0.5096,161949,82529,0.9984,0.0016,0.0032,0.0053,0.0035,0.0071
"Diana",0.5296,1470289,778665,0.5286,1742468,921069,0.9632,0.0368,0.0737,0.001,4e-04,0.0016
"Ekko",0.5195,887571,461093,0.5167,1012830,523329,0.9999,1e-04,1e-04,0.0028,0.0021,0.0035
"Fizz",0.5261,1379959,725996,0.5226,1506152,787115,1,0,0,0.0035,0.0029,0.0041
"Heimerdinger",0.5156,147626,76116,0.5112,213940,109366,0.9954,0.0046,0.0093,0.0044,0.0027,0.0061
"Irelia",0.448,625939,280421,0.4536,732351,332194,0,1,0,-0.0056,-0.0065,-0.0047
"Kassadin",0.5067,766300,388284,0.5008,891992,446710,1,0,0,0.0059,0.0051,0.0067
"Katarina",0.5051,1446172,730461,0.5077,1571471,797836,0,1,0,-0.0026,-0.0032,-0.002
"Kayle",0.5191,60949,31639,0.5119,67520,34563,0.9951,0.0049,0.0098,0.0072,0.0044,0.01
"Kled",0.5467,47618,26033,0.5582,59371,33141,1e-04,0.9999,2e-04,-0.0115,-0.0146,-0.0084
"Malphite",0.5217,243026,126787,0.5181,290315,150412,0.9956,0.0044,0.0087,0.0036,0.0022,0.005
"Malzahar",0.5187,647593,335906,0.5155,687454,354383,0.9999,1e-04,2e-04,0.0032,0.0023,0.0041
"Mordekaiser",0.5294,247436,130993,0.5264,276958,145791,0.9851,0.0149,0.0298,0.003,0.0016,0.0044
"Morgana",0.5194,177051,91960,0.5166,198280,102431,0.9567,0.0433,0.0865,0.0028,0.0012,0.0044
"Nocturne",0.5266,191030,100596,0.5373,280046,150469,0,1,0,-0.0107,-0.0122,-0.0092
"Orianna",0.4894,644485,315411,0.4855,685523,332821,1,0,0,0.0039,0.003,0.0048
"Qiyana",0.4697,613091,287969,0.4638,514743,238738,1,0,0,0.0059,0.005,0.0068
"Renekton",0.5119,148849,76196,0.5158,175455,90500,0.0134,0.9866,0.0268,-0.0039,-0.0057,-0.0021
"Riven",0.4902,59333,29085,0.4855,63276,30720,0.9503,0.0497,0.0994,0.0047,0.0018,0.0076
"Rumble",0.5133,319707,164106,0.5164,333479,172209,0.0061,0.9939,0.0122,-0.0031,-0.0043,-0.0019
"Ryze",0.4592,594693,273083,0.4533,607921,275571,1,0,0,0.0059,0.005,0.0068
"Syndra",0.483,700013,338106,0.4998,847663,423662,0,1,0,-0.0168,-0.0176,-0.016
"Talon",0.4914,1044550,513292,0.4942,1084968,536191,0,1,0,-0.0028,-0.0035,-0.0021
"Taric",0.6504,73376,47724,0.6365,71792,45696,1,0,0,0.0139,0.0114,0.0164
"Veigar",0.5066,871613,441559,0.5034,967281,486929,1,0,0,0.0032,0.0025,0.0039
"Vel'Koz",0.5229,372604,194835,0.5306,436936,231838,0,1,0,-0.0077,-0.0088,-0.0066
"Viktor",0.5106,400450,204470,0.507,400031,202816,0.9994,6e-04,0.0013,0.0036,0.0025,0.0047
"Vladimir",0.5049,887529,448113,0.4972,947350,471022,1,0,0,0.0077,0.007,0.0084
"Wukong",0.5389,122090,65794,0.5346,133662,71456,0.9852,0.0148,0.0296,0.0043,0.0023,0.0063
"Yasuo",0.5019,2459830,1234589,0.4976,2705490,1346252,1,0,0,0.0043,0.0039,0.0047
"Zed",0.493,1800350,887573,0.4991,1909520,953041,0,1,0,-0.0061,-0.0066,-0.0056
"Zoe",0.4766,684769,326361,0.4796,751396,360370,2e-04,0.9998,3e-04,-0.003,-0.0038,-0.0022
