"MiddleRisk13.champName","MiddleRisk13.winRate.x","MiddleRisk13.gamesPlayed.x","MiddleRisk13.gamesWon.x","MiddleRisk13.winRate.y","MiddleRisk13.gamesPlayed.y","MiddleRisk13.gamesWon.y","MiddleRisk13.HOlessequal","MiddleRisk13.HOgreaterequal","MiddleRisk13.HOequal","MiddleRisk13.riskDifference","MiddleRisk13.riskLower","MiddleRisk13.riskUpper"
"Aatrox",0.497,74652,37102,0.5026,60507,30411,0.0202,0.9798,0.0405,-0.0056,-0.0083,-0.0029
"Ahri",0.5124,1018772,522019,0.5102,1021125,520978,0.9992,8e-04,0.0017,0.0022,0.0015,0.0029
"Akali",0.4587,961120,440866,0.4555,959096,436868,1,0,0,0.0032,0.0025,0.0039
"Anivia",0.5159,218236,112588,0.5121,211640,108381,0.9936,0.0064,0.0127,0.0038,0.0023,0.0053
"Corki",0.4813,273198,131490,0.479,270798,129712,0.9552,0.0448,0.0895,0.0023,9e-04,0.0037
"Diana",0.5139,1061839,545679,0.5117,975814,499324,0.9992,8e-04,0.0017,0.0022,0.0015,0.0029
"Ekko",0.5161,958377,494618,0.5102,944059,481659,1,0,0,0.0059,0.0052,0.0066
"Fizz",0.5218,1169406,610196,0.5189,1180083,612345,1,0,0,0.0029,0.0022,0.0036
"Irelia",0.4615,641808,296194,0.4587,591899,271504,0.9991,9e-04,0.0018,0.0028,0.0019,0.0037
"Katarina",0.5056,1101363,556849,0.504,1057279,532869,0.9906,0.0094,0.0188,0.0016,9e-04,0.0023
"LeBlanc",0.4758,850791,404806,0.4742,934374,443080,0.9837,0.0163,0.0325,0.0016,9e-04,0.0023
"Lux",0.5255,907878,477090,0.5219,891445,465245,1,0,0,0.0036,0.0029,0.0043
"Malzahar",0.5174,515939,266947,0.5148,497833,256284,0.9956,0.0044,0.0088,0.0026,0.0016,0.0036
"Neeko",0.5097,356750,181835,0.5067,373282,189142,0.9948,0.0052,0.0104,0.003,0.0018,0.0042
"Orianna",0.4994,864702,431832,0.4965,816574,405429,0.9999,1e-04,2e-04,0.0029,0.0021,0.0037
"Pantheon",0.4871,438252,213473,0.4843,417099,202001,0.9952,0.0048,0.0096,0.0028,0.0017,0.0039
"Quinn",0.528,38462,20308,0.5202,35883,18666,0.9835,0.0165,0.0331,0.0078,0.0041,0.0115
"Sylas",0.4833,900407,435167,0.4815,904911,435715,0.9922,0.0078,0.0155,0.0018,0.0011,0.0025
"Veigar",0.509,760597,387144,0.5053,747530,377727,1,0,0,0.0037,0.0029,0.0045
"Vel'Koz",0.5303,453573,240530,0.528,439894,232264,0.9853,0.0147,0.0294,0.0023,0.0012,0.0034
"Vladimir",0.5059,751121,379992,0.5033,682506,343505,0.9991,9e-04,0.0019,0.0026,0.0018,0.0034
"Yasuo",0.5021,2082633,1045690,0.4992,2109915,1053270,1,0,0,0.0029,0.0024,0.0034
"Ziggs",0.5009,294869,147700,0.4975,270843,134744,0.9947,0.0053,0.0106,0.0034,0.0021,0.0047
"Zilean",0.5328,69639,37104,0.5256,66002,34691,0.996,0.004,0.0079,0.0072,0.0045,0.0099
"Zoe",0.4791,642588,307864,0.4775,721585,344557,0.9691,0.0309,0.0619,0.0016,7e-04,0.0025
