"MiddleRisk11.champName","MiddleRisk11.winRate.x","MiddleRisk11.gamesPlayed.x","MiddleRisk11.gamesWon.x","MiddleRisk11.winRate.y","MiddleRisk11.gamesPlayed.y","MiddleRisk11.gamesWon.y","MiddleRisk11.HOlessequal","MiddleRisk11.HOgreaterequal","MiddleRisk11.HOequal","MiddleRisk11.riskDifference","MiddleRisk11.riskLower","MiddleRisk11.riskUpper"
"Azir",0.4562,247196,112771,0.4532,286481,129833,0.9859,0.0141,0.0281,0.003,0.0016,0.0044
"Irelia",0.462,622013,287370,0.4645,646869,300471,0.0024,0.9976,0.0047,-0.0025,-0.0034,-0.0016
"Katarina",0.5038,1057314,532675,0.5058,1090202,551424,0.0017,0.9983,0.0034,-0.002,-0.0027,-0.0013
"LeBlanc",0.4727,897929,424451,0.4747,839128,398334,0.0042,0.9958,0.0083,-0.002,-0.0028,-0.0012
"Malzahar",0.5141,546679,281048,0.5185,516373,267739,0,1,0,-0.0044,-0.0054,-0.0034
"Morgana",0.5214,164635,85841,0.525,165003,86627,0.0192,0.9808,0.0385,-0.0036,-0.0053,-0.0019
"Pyke",0.5211,164242,85587,0.5263,194057,102132,0.001,0.999,0.0019,-0.0052,-0.0069,-0.0035
"Sylas",0.4843,922891,446956,0.486,911559,443018,0.0106,0.9894,0.0212,-0.0017,-0.0024,-0.001
"Vladimir",0.4992,753429,376112,0.5016,763062,382752,0.0016,0.9984,0.0031,-0.0024,-0.0032,-0.0016
"Zed",0.4957,1439459,713540,0.4941,1661973,821181,0.9975,0.0025,0.0049,0.0016,0.001,0.0022
"Zilean",0.525,71463,37518,0.5295,67462,35721,0.0466,0.9534,0.0932,-0.0045,-0.0072,-0.0018
