"MiddleRisk8.champName","MiddleRisk8.winRate.x","MiddleRisk8.gamesPlayed.x","MiddleRisk8.gamesWon.x","MiddleRisk8.winRate.y","MiddleRisk8.gamesPlayed.y","MiddleRisk8.gamesWon.y","MiddleRisk8.HOlessequal","MiddleRisk8.HOgreaterequal","MiddleRisk8.HOequal","MiddleRisk8.riskDifference","MiddleRisk8.riskLower","MiddleRisk8.riskUpper"
"Akali",0.4401,972314,427915,0.4427,972711,430619,1e-04,0.9999,3e-04,-0.0026,-0.0033,-0.0019
"Aurelion Sol",0.5046,150518,75951,0.5097,142898,72835,0.0029,0.9971,0.0057,-0.0051,-0.0069,-0.0033
"Azir",0.4475,489053,218851,0.4528,399724,180995,0,1,0,-0.0053,-0.0064,-0.0042
"Cassiopeia",0.51,758176,386670,0.5122,749259,383770,0.0035,0.9965,0.0069,-0.0022,-0.003,-0.0014
"Cho'Gath",0.5063,152806,77366,0.5105,158431,80879,0.0096,0.9904,0.0192,-0.0042,-0.006,-0.0024
"Ekko",0.5157,1192163,614798,0.5144,1227196,631270,0.9784,0.0216,0.0432,0.0013,7e-04,0.0019
"Gangplank",0.4719,59431,28045,0.4658,67888,31622,0.9852,0.0148,0.0297,0.0061,0.0033,0.0089
"Heimerdinger",0.5141,231611,119071,0.5086,231100,117537,0.9999,1e-04,2e-04,0.0055,0.004,0.007
"Jayce",0.4878,147845,72119,0.4927,147433,72640,0.0039,0.9961,0.0078,-0.0049,-0.0067,-0.0031
"Kassadin",0.4943,1264006,624798,0.4924,1286967,633703,0.9988,0.0012,0.0024,0.0019,0.0013,0.0025
"Katarina",0.5058,1642075,830562,0.5082,1525250,775132,0,1,0,-0.0024,-0.003,-0.0018
"LeBlanc",0.4728,1374770,649991,0.4751,1292454,614045,1e-04,0.9999,2e-04,-0.0023,-0.0029,-0.0017
"Malzahar",0.5179,749227,388025,0.5197,730062,379413,0.0143,0.9857,0.0285,-0.0018,-0.0026,-0.001
"Neeko",0.5118,483285,247345,0.5095,462025,235402,0.9873,0.0127,0.0254,0.0023,0.0013,0.0033
"Nocturne",0.5248,208507,109424,0.5294,206328,109230,0.0015,0.9985,0.003,-0.0046,-0.0062,-0.003
"Pantheon",0.4868,602501,293297,0.485,576732,279715,0.9747,0.0253,0.0507,0.0018,9e-04,0.0027
"Qiyana",0.4607,399879,184224,0.4633,391717,181482,0.0102,0.9898,0.0204,-0.0026,-0.0037,-0.0015
"Syndra",0.5049,1329227,671127,0.5063,1440694,729423,0.01,0.99,0.0199,-0.0014,-0.002,-8e-04
"Talon",0.4945,981299,485252,0.4959,981639,486795,0.0249,0.9751,0.0497,-0.0014,-0.0021,-7e-04
"Xerath",0.5138,658083,338123,0.5111,591839,302489,0.9987,0.0013,0.0026,0.0027,0.0018,0.0036
"Zed",0.4994,2034886,1016222,0.4974,1945883,967882,1,0,1e-04,0.002,0.0015,0.0025
"Zoe",0.4762,719340,342550,0.4798,712260,341742,0,1,0,-0.0036,-0.0044,-0.0028
