"MiddleRisk9.champName","MiddleRisk9.winRate.x","MiddleRisk9.gamesPlayed.x","MiddleRisk9.gamesWon.x","MiddleRisk9.winRate.y","MiddleRisk9.gamesPlayed.y","MiddleRisk9.gamesWon.y","MiddleRisk9.HOlessequal","MiddleRisk9.HOgreaterequal","MiddleRisk9.HOequal","MiddleRisk9.riskDifference","MiddleRisk9.riskLower","MiddleRisk9.riskUpper"
"Aatrox",0.5037,95791,48250,0.4997,94000,46972,0.9592,0.0408,0.0815,0.004,0.0017,0.0063
"Ahri",0.5074,1352074,686042,0.5135,1259088,646542,0,1,0,-0.0061,-0.0067,-0.0055
"Azir",0.4528,399724,180995,0.4563,306567,139887,0.0017,0.9983,0.0034,-0.0035,-0.0047,-0.0023
"Cassiopeia",0.5122,749259,383770,0.5106,664298,339191,0.9711,0.0289,0.0577,0.0016,8e-04,0.0024
"Ekko",0.5144,1227196,631270,0.5129,1132516,580867,0.9894,0.0106,0.0212,0.0015,8e-04,0.0022
"Kassadin",0.4924,1286967,633703,0.4975,1029676,512264,0,1,0,-0.0051,-0.0058,-0.0044
"Kayle",0.5071,73881,37465,0.5027,69335,34855,0.9518,0.0482,0.0964,0.0044,0.0018,0.007
"LeBlanc",0.4751,1292454,614045,0.4735,1139224,539423,0.9937,0.0063,0.0127,0.0016,0.001,0.0022
"Lucian",0.4679,341324,159705,0.4623,345604,159773,1,0,0,0.0056,0.0044,0.0068
"Lux",0.5101,1112225,567346,0.5065,939320,475766,1,0,0,0.0036,0.0029,0.0043
"Malzahar",0.5197,730062,379413,0.5172,681291,352364,0.9985,0.0015,0.003,0.0025,0.0017,0.0033
"Morgana",0.5266,236896,124749,0.524,203296,106527,0.9574,0.0426,0.0852,0.0026,0.0011,0.0041
"Nocturne",0.5294,206328,109230,0.5321,195256,103896,0.0432,0.9568,0.0864,-0.0027,-0.0043,-0.0011
"Orianna",0.5069,814300,412769,0.5039,749635,377741,0.9999,1e-04,2e-04,0.003,0.0022,0.0038
"Pantheon",0.485,576732,279715,0.4833,536621,259349,0.9635,0.0365,0.0729,0.0017,8e-04,0.0026
"Qiyana",0.4633,391717,181482,0.4672,327264,152898,5e-04,0.9995,0.001,-0.0039,-0.0051,-0.0027
"Taliyah",0.4959,51892,25733,0.5015,48103,24124,0.0381,0.9619,0.0762,-0.0056,-0.0088,-0.0024
"Talon",0.4959,981639,486795,0.4977,945996,470822,0.0062,0.9938,0.0125,-0.0018,-0.0025,-0.0011
"Veigar",0.5105,1182819,603829,0.5083,961648,488806,0.9993,7e-04,0.0014,0.0022,0.0015,0.0029
"Vel'Koz",0.5312,523723,278202,0.5286,467251,246989,0.9952,0.0048,0.0096,0.0026,0.0016,0.0036
"Viktor",0.5042,385176,194206,0.5004,327009,163635,0.9993,7e-04,0.0014,0.0038,0.0026,0.005
"Xerath",0.5111,591839,302489,0.509,491566,250207,0.9853,0.0147,0.0295,0.0021,0.0011,0.0031
"Yasuo",0.5069,2604040,1319988,0.5054,2252737,1138533,0.9995,5e-04,0.001,0.0015,0.001,0.002
"Ziggs",0.5039,371537,187217,0.5008,313327,156914,0.9947,0.0053,0.0106,0.0031,0.0019,0.0043
"Zoe",0.4798,712260,341742,0.4823,573629,276661,0.0024,0.9976,0.0048,-0.0025,-0.0034,-0.0016
