"MiddleRisk12.champName","MiddleRisk12.winRate.x","MiddleRisk12.gamesPlayed.x","MiddleRisk12.gamesWon.x","MiddleRisk12.winRate.y","MiddleRisk12.gamesPlayed.y","MiddleRisk12.gamesWon.y","MiddleRisk12.HOlessequal","MiddleRisk12.HOgreaterequal","MiddleRisk12.HOequal","MiddleRisk12.riskDifference","MiddleRisk12.riskLower","MiddleRisk12.riskUpper"
"Anivia",0.5116,216717,110872,0.5159,218236,112588,0.0023,0.9977,0.0045,-0.0043,-0.0058,-0.0028
"Annie",0.5234,565504,295985,0.5273,548181,289056,0,1,0,-0.0039,-0.0048,-0.003
"Azir",0.4532,286481,129833,0.4484,342375,153521,0.9999,1e-04,1e-04,0.0048,0.0035,0.0061
"Diana",0.5183,1143805,592834,0.5139,1061839,545679,1,0,0,0.0044,0.0037,0.0051
"Ekko",0.512,925166,473685,0.5161,958377,494618,0,1,0,-0.0041,-0.0048,-0.0034
"Fizz",0.5181,1179696,611200,0.5218,1169406,610196,0,1,0,-0.0037,-0.0044,-0.003
"Galio",0.5198,708009,368023,0.5227,762858,398746,2e-04,0.9998,4e-04,-0.0029,-0.0037,-0.0021
"Heimerdinger",0.5069,181912,92211,0.5102,186793,95302,0.0225,0.9775,0.0449,-0.0033,-0.0049,-0.0017
"Irelia",0.4645,646869,300471,0.4615,641808,296194,0.9997,3e-04,6e-04,0.003,0.0021,0.0039
"Kassadin",0.4987,822591,410226,0.5024,912691,458536,0,1,0,-0.0037,-0.0045,-0.0029
"Lux",0.5229,896626,468846,0.5255,907878,477090,2e-04,0.9998,5e-04,-0.0026,-0.0033,-0.0019
"Mordekaiser",0.523,173222,90595,0.5181,163486,84702,0.9978,0.0022,0.0044,0.0049,0.0032,0.0066
"Pantheon",0.4889,434486,212420,0.4871,438252,213473,0.9536,0.0464,0.0928,0.0018,7e-04,0.0029
"Renekton",0.5079,137841,70009,0.5116,136430,69798,0.0261,0.9739,0.0522,-0.0037,-0.0056,-0.0018
"Rumble",0.515,181139,93287,0.518,189352,98084,0.0341,0.9659,0.0681,-0.003,-0.0046,-0.0014
"Sylas",0.486,911559,443018,0.4833,900407,435167,0.9999,1e-04,3e-04,0.0027,0.002,0.0034
"Talon",0.4919,733867,360989,0.4899,743676,364327,0.9925,0.0075,0.0151,0.002,0.0012,0.0028
"Twisted Fate",0.492,851226,418803,0.4907,927136,454946,0.9583,0.0417,0.0834,0.0013,5e-04,0.0021
"Veigar",0.5065,759227,384548,0.509,760597,387144,0.001,0.999,0.002,-0.0025,-0.0033,-0.0017
"Vel'Koz",0.5278,432464,228254,0.5303,453573,240530,0.0092,0.9908,0.0184,-0.0025,-0.0036,-0.0014
"Vladimir",0.5016,763062,382752,0.5059,751121,379992,0,1,0,-0.0043,-0.0051,-0.0035
"Xerath",0.5077,396452,201279,0.5097,411912,209952,0.0361,0.9639,0.0721,-0.002,-0.0031,-9e-04
"Ziggs",0.498,280563,139720,0.5009,294869,147700,0.0139,0.9861,0.0278,-0.0029,-0.0042,-0.0016
"Zoe",0.4807,537399,258328,0.4791,642588,307864,0.9585,0.0415,0.0831,0.0016,7e-04,0.0025
