"SupportBalanced7.champName","SupportBalanced7.winRate.x","SupportBalanced7.gamesPlayed.x","SupportBalanced7.gamesWon.x","SupportBalanced7.winRate.y","SupportBalanced7.gamesPlayed.y","SupportBalanced7.gamesWon.y"
"Fiddlesticks",0.4437,530539,235400,0.4604,216223,99549
"Galio",0.5097,271319,138291,0.5097,297705,151740
"Senna",0.5005,1917357,959637,0.4955,1745799,865043
"Sett",0.4975,391535,194789,0.4818,515135,248192
"Soraka",0.4957,967924,479800,0.5069,1131733,573675
