"SupportBalanced2.champName","SupportBalanced2.winRate.x","SupportBalanced2.gamesPlayed.x","SupportBalanced2.gamesWon.x","SupportBalanced2.winRate.y","SupportBalanced2.gamesPlayed.y","SupportBalanced2.gamesWon.y"
"Annie",0.4688,56267,26378,0.4675,65463,30604
"Galio",0.4722,115927,54741,0.4762,144989,69044
"Karma",0.4921,570714,280848,0.4927,582542,287018
"Leona",0.5162,2561225,1322104,0.5089,2465468,1254677
"Lulu",0.5049,883594,446127,0.5062,931779,471667
"Malphite",0.4861,446805,217192,0.4873,358938,174910
"Nautilus",0.5047,2224934,1122924,0.5029,2383427,1198625
"Senna",0.4869,1458476,710132,0.5018,1963343,985206
"Sona",0.5365,657913,352970,0.5225,774657,404758
"Thresh",0.4918,2732870,1344025,0.4912,3065458,1505753
"Yuumi",0.4661,542631,252920,0.4798,1055299,506332
"Ziggs",0.4903,40308,19763,0.486,43312,21050
