"SupportBalanced6.champName","SupportBalanced6.winRate.x","SupportBalanced6.gamesPlayed.x","SupportBalanced6.gamesWon.x","SupportBalanced6.winRate.y","SupportBalanced6.gamesPlayed.y","SupportBalanced6.gamesWon.y"
"Anivia",0.4568,45965,20997,0.4517,44006,19878
"Fiddlesticks",0.4878,353570,172471,0.4437,530539,235400
"Galio",0.481,166632,80150,0.5097,271319,138291
"Morgana",0.4987,2414672,1204197,0.498,2464543,1227342
"Senna",0.4934,1935141,954799,0.5005,1917357,959637
"Shaco",0.526,250342,131680,0.5275,236060,124522
"Soraka",0.4968,1010036,501786,0.4957,967924,479800
"Veigar",0.485,290348,140819,0.4842,285750,138360
"Xerath",0.5101,586205,299023,0.5126,608693,312016
