"SupportBalanced8.champName","SupportBalanced8.winRate.x","SupportBalanced8.gamesPlayed.x","SupportBalanced8.gamesWon.x","SupportBalanced8.winRate.y","SupportBalanced8.gamesPlayed.y","SupportBalanced8.gamesWon.y"
"Bard",0.5135,787232,404244,0.5081,695314,353289
"Fiddlesticks",0.4604,216223,99549,0.4695,187174,87878
"Nami",0.5338,1583064,845040,0.5189,1304615,676965
"Senna",0.4955,1745799,865043,0.496,1581264,784307
"Sett",0.4818,515135,248192,0.4837,487613,235858
"Soraka",0.5069,1131733,573675,0.5081,1088235,552932
