"SupportBalanced13.champName","SupportBalanced13.winRate.x","SupportBalanced13.gamesPlayed.x","SupportBalanced13.gamesWon.x","SupportBalanced13.winRate.y","SupportBalanced13.gamesPlayed.y","SupportBalanced13.gamesWon.y"
"Alistar",0.5054,520006,262811,0.5147,627984,323223
"Pyke",0.4924,1410782,694669,0.4906,1395012,684393
"Rakan",0.4908,557562,273651,0.4902,511666,250819
"Yuumi",0.4653,1525747,709930,0.4705,1345091,632865
