"SupportBalanced11.champName","SupportBalanced11.winRate.x","SupportBalanced11.gamesPlayed.x","SupportBalanced11.gamesWon.x","SupportBalanced11.winRate.y","SupportBalanced11.gamesPlayed.y","SupportBalanced11.gamesWon.y"
"Brand",0.5222,811747,423894,0.5213,872938,455063
"Fiddlesticks",0.4936,98926,48830,0.4859,93967,45659
"Janna",0.5199,629767,327416,0.5215,619884,323270
"Lux",0.5031,1622347,816203,0.5005,1676998,839337
"Senna",0.4971,1517008,754105,0.4961,1914530,949798
