"SupportBalanced1.champName","SupportBalanced1.winRate.x","SupportBalanced1.gamesPlayed.x","SupportBalanced1.gamesWon.x","SupportBalanced1.winRate.y","SupportBalanced1.gamesPlayed.y","SupportBalanced1.gamesWon.y"
"Karma",0.4781,588433,281330,0.4921,570714,280848
"Lulu",0.4853,909031,441153,0.5049,883594,446127
"Nami",0.535,1886022,1009022,0.5306,1425528,756385
"Nautilus",0.5146,2784106,1432701,0.5047,2224934,1122924
"Sona",0.5028,491648,247201,0.5365,657913,352970
"Thresh",0.4933,3342393,1648802,0.4918,2732870,1344025
"Ziggs",0.4766,26292,12531,0.4903,40308,19763
"Zyra",0.515,837174,431145,0.5161,627638,323924
