"SupportBalanced3.champName","SupportBalanced3.winRate.x","SupportBalanced3.gamesPlayed.x","SupportBalanced3.gamesWon.x","SupportBalanced3.winRate.y","SupportBalanced3.gamesPlayed.y","SupportBalanced3.gamesWon.y"
"Annie",0.4675,65463,30604,0.4636,59727,27689
"Galio",0.4762,144989,69044,0.4769,134135,63969
"Leona",0.5089,2465468,1254677,0.5086,2130608,1083627
"Lux",0.4823,1628698,785521,0.4917,1775279,872905
"Malphite",0.4873,358938,174910,0.4917,373249,183527
"Nautilus",0.5029,2383427,1198625,0.5024,2179492,1094977
"Rumble",0.453,54190,24548,0.4563,50224,22917
"Senna",0.5018,1963343,985206,0.5084,2017159,1025524
"Sona",0.5225,774657,404758,0.4998,579319,289544
"Soraka",0.5222,1501506,784086,0.4902,1081049,529930
"Yuumi",0.4798,1055299,506332,0.4881,1263070,616504
