"SupportBalanced4.champName","SupportBalanced4.winRate.x","SupportBalanced4.gamesPlayed.x","SupportBalanced4.gamesWon.x","SupportBalanced4.winRate.y","SupportBalanced4.gamesPlayed.y","SupportBalanced4.gamesWon.y"
"Alistar",0.4903,511253,250667,0.5043,740136,373251
"Bard",0.5192,681028,353590,0.5049,620471,313276
"Blitzcrank",0.5233,2133335,1116374,0.5162,2222170,1147084
"Lux",0.4917,1775279,872905,0.4934,2010087,991777
"Neeko",0.4729,122029,57708,0.4895,195313,95606
"Sona",0.4998,579319,289544,0.5266,722100,380258
"Soraka",0.4902,1081049,529930,0.4883,968274,472808
