"SupportBalanced12.champName","SupportBalanced12.winRate.x","SupportBalanced12.gamesPlayed.x","SupportBalanced12.gamesWon.x","SupportBalanced12.winRate.y","SupportBalanced12.gamesPlayed.y","SupportBalanced12.gamesWon.y"
"Brand",0.5213,872938,455063,0.5252,875385,459752
"Fiddlesticks",0.4859,93967,45659,0.4873,93072,45354
"Rakan",0.4912,522440,256623,0.4908,557562,273651
"Senna",0.4961,1914530,949798,0.5004,2096722,1049200
"Yuumi",0.5024,2082229,1046112,0.4653,1525747,709930
