"SupportBalanced9.champName","SupportBalanced9.winRate.x","SupportBalanced9.gamesPlayed.x","SupportBalanced9.gamesWon.x","SupportBalanced9.winRate.y","SupportBalanced9.gamesPlayed.y","SupportBalanced9.gamesWon.y"
"Annie",0.4695,70758,33221,0.4848,85671,41533
"Bard",0.5081,695314,353289,0.5117,661734,338609
"Fiddlesticks",0.4695,187174,87878,0.4836,99643,48187
"Maokai",0.5244,372060,195108,0.522,302393,157849
"Nami",0.5189,1304615,676965,0.518,1093134,566243
"Soraka",0.5081,1088235,552932,0.5163,1317661,680308
"Taric",0.5279,570646,301244,0.5204,430720,224147
