"JungleMerged7.champName","JungleMerged7.winRate.x","JungleMerged7.gamesPlayed.x","JungleMerged7.gamesWon.x","JungleMerged7.winRate.y","JungleMerged7.gamesPlayed.y","JungleMerged7.gamesWon.y","JungleMerged7.HOlessequal","JungleMerged7.HOgreaterequal","JungleMerged7.HOequal"
"Amumu",0.5293,1274256,674464,0.5292,1305008,690610,0.5642,0.4358,0.8717
"Camille",0.4376,46792,20476,0.4347,49038,21317,0.8166,0.1834,0.3668
"Cho'Gath",0.4872,76994,37511,0.4844,85325,41331,0.87,0.13,0.2599
"Diana",0.4814,251744,121190,0.4795,249470,119621,0.911,0.089,0.178
"Dr. Mundo",0.5167,198488,102559,0.5243,233273,122305,0,1,0
"Ekko",0.5105,1883914,961738,0.5083,1840475,935513,1,0,0
"Elise",0.5005,1167259,584213,0.4957,1043101,517065,1,0,0
"Gragas",0.4526,531682,240639,0.4502,514199,231492,0.9932,0.0068,0.0137
"Graves",0.5094,1238264,630772,0.5115,1773705,907250,2e-04,0.9998,3e-04
"Hecarim",0.5004,665308,332920,0.4959,639795,317274,1,0,0
"Jarvan IV",0.5036,1572027,791673,0.5001,1500268,750284,1,0,0
"Jax",0.4967,1206674,599355,0.4945,1207097,596909,0.9997,3e-04,6e-04
"Karthus",0.4867,419218,204033,0.4886,451094,220405,0.0381,0.9619,0.0761
"Kayn",0.4847,1342958,650932,0.4831,1450929,700944,0.9963,0.0037,0.0075
"Kha'Zix",0.4925,1142320,562593,0.4912,1177871,578570,0.9762,0.0238,0.0476
"Kindred",0.487,366724,178595,0.4869,405323,197352,0.5352,0.4648,0.9297
"Lee Sin",0.4781,3367642,1610070,0.4774,3349616,1599107,0.9653,0.0347,0.0694
"Malphite",0.4707,248246,116849,0.4715,244439,115253,0.2865,0.7135,0.573
"Nidalee",0.4632,426400,197508,0.4647,383760,178333,0.0882,0.9118,0.1763
"Nunu",0.516,568887,293546,0.5179,623802,323067,0.0191,0.9809,0.0381
"Olaf",0.5009,1104870,553429,0.4988,1033228,515374,0.9989,0.0011,0.0022
"Pantheon",0.4513,242681,109522,0.4473,228950,102409,0.9971,0.0029,0.0058
"Poppy",0.5083,147252,74848,0.5069,144919,73459,0.7757,0.2243,0.4486
"Qiyana",0.3816,38941,14860,0.3809,39992,15233,0.5804,0.4196,0.8392
"Rammus",0.5189,854816,443564,0.518,819229,424361,0.8779,0.1221,0.2443
"Rek'Sai",0.4906,507396,248928,0.4875,458197,223371,0.9988,0.0012,0.0023
"Rengar",0.473,589663,278911,0.4747,591755,280906,0.0322,0.9678,0.0644
"Sejuani",0.4974,658233,327405,0.4954,656521,325241,0.9891,0.0109,0.0219
"Shaco",0.5079,1075628,546311,0.5063,1089351,551538,0.9907,0.0093,0.0186
"Shyvana",0.524,917767,480910,0.521,998084,520002,1,0,0
"Skarner",0.4988,109993,54865,0.4945,108377,53592,0.978,0.022,0.0441
"Sylas",0.4726,324160,153198,0.4665,589709,275099,1,0,0
"Taliyah",0.4766,89887,42840,0.4706,82696,38917,0.9936,0.0064,0.0127
"Trundle",0.5267,840394,442636,0.5246,1052140,551953,0.998,0.002,0.004
"Tryndamere",0.4551,119157,54228,0.4588,126865,58206,0.0326,0.9674,0.0652
"Twitch",0.4575,183533,83966,0.4544,169869,77188,0.9678,0.0322,0.0644
"Udyr",0.5053,367444,185669,0.5027,359268,180604,0.9866,0.0134,0.0267
"Vi",0.511,947007,483921,0.5102,965234,492462,0.866,0.134,0.268
"Volibear",0.5309,554722,294502,0.525,562567,295348,1,0,0
"Warwick",0.5251,1919197,1007770,0.5232,1953768,1022211,0.9999,1e-04,2e-04
"Zac",0.5179,1630736,844558,0.518,1608179,833037,0.4283,0.5717,0.8567
