"JungleMerged6.champName","JungleMerged6.winRate.x","JungleMerged6.gamesPlayed.x","JungleMerged6.gamesWon.x","JungleMerged6.winRate.y","JungleMerged6.gamesPlayed.y","JungleMerged6.gamesWon.y","JungleMerged6.HOlessequal","JungleMerged6.HOgreaterequal","JungleMerged6.HOequal"
"Amumu",0.5304,1274013,675736,0.5293,1274256,674464,0.9606,0.0394,0.0787
"Camille",0.4381,52037,22797,0.4376,46792,20476,0.5623,0.4377,0.8753
"Cho'Gath",0.4863,78621,38233,0.4872,76994,37511,0.3614,0.6386,0.7228
"Diana",0.4862,278890,135596,0.4814,251744,121190,0.9998,2e-04,5e-04
"Dr. Mundo",0.5146,215872,111088,0.5167,198488,102559,0.0883,0.9117,0.1766
"Ekko",0.5094,1847293,941011,0.5105,1883914,961738,0.0168,0.9832,0.0336
"Elise",0.5028,1191729,599201,0.5005,1167259,584213,0.9998,2e-04,4e-04
"Evelynn",0.4717,572431,270016,0.472,631561,298097,0.371,0.629,0.7421
"Gragas",0.4525,505103,228559,0.4526,531682,240639,0.4594,0.5406,0.9188
"Graves",0.5071,1039748,527256,0.5094,1238264,630772,3e-04,0.9997,5e-04
"Jarvan IV",0.5021,1457111,731615,0.5036,1572027,791673,0.0045,0.9955,0.0091
"Jax",0.4981,1214544,604964,0.4967,1206674,599355,0.9853,0.0147,0.0294
"Karthus",0.4878,389914,190200,0.4867,419218,204033,0.8389,0.1611,0.3222
"Kha'Zix",0.4906,1071258,525559,0.4925,1142320,562593,0.0024,0.9976,0.0047
"Lee Sin",0.4765,3413416,1626493,0.4781,3367642,1610070,0,1,0
"Malphite",0.4719,267393,126183,0.4707,248246,116849,0.8063,0.1937,0.3874
"Master Yi",0.5164,2477243,1279248,0.519,2489267,1291930,0,1,0
"Nidalee",0.4644,451178,209527,0.4632,426400,197508,0.8703,0.1297,0.2595
"Nunu",0.5167,560420,289569,0.516,568887,293546,0.7715,0.2285,0.4571
"Olaf",0.499,1104455,551123,0.5009,1104870,553429,0.0024,0.9976,0.0047
"Pantheon",0.451,258831,116733,0.4513,242681,109522,0.4157,0.5843,0.8314
"Poppy",0.5032,159671,80346,0.5083,147252,74848,0.0024,0.9976,0.0047
"Qiyana",0.3823,45841,17525,0.3816,38941,14860,0.5824,0.4176,0.8352
"Rammus",0.5233,875809,458311,0.5189,854816,443564,1,0,0
"Rek'Sai",0.4881,511406,249617,0.4906,507396,248928,0.0058,0.9942,0.0116
"Rengar",0.47,553158,259984,0.473,589663,278911,7e-04,0.9993,0.0013
"Sejuani",0.499,665097,331883,0.4974,658233,327405,0.9671,0.0329,0.0658
"Sett",0.5139,483685,248566,0.516,502148,259108,0.0186,0.9814,0.0371
"Shyvana",0.5233,850432,445031,0.524,917767,480910,0.1758,0.8242,0.3516
"Skarner",0.4969,101879,50624,0.4988,109993,54865,0.1909,0.8091,0.3818
"Sylas",0.4715,290486,136964,0.4726,324160,153198,0.1941,0.8059,0.3882
"Taliyah",0.4737,102094,48362,0.4766,89887,42840,0.1023,0.8977,0.2046
"Trundle",0.525,719628,377805,0.5267,840394,442636,0.017,0.983,0.034
"Tryndamere",0.4531,123046,55752,0.4551,119157,54228,0.1617,0.8383,0.3234
"Twitch",0.449,171653,77072,0.4575,183533,83966,0,1,0
"Udyr",0.5045,361906,182582,0.5053,367444,185669,0.2479,0.7521,0.4958
"Vi",0.508,927299,471068,0.511,947007,483921,0,1,0
"Volibear",0.5288,523973,277077,0.5309,554722,294502,0.0145,0.9855,0.029
"Warwick",0.5261,1837206,966554,0.5251,1919197,1007770,0.9738,0.0262,0.0523
"Zac",0.5204,1647592,857407,0.5179,1630736,844558,1,0,0
