"JungleMerged1.champName","JungleMerged1.winRate.x","JungleMerged1.gamesPlayed.x","JungleMerged1.gamesWon.x","JungleMerged1.winRate.y","JungleMerged1.gamesPlayed.y","JungleMerged1.gamesWon.y","JungleMerged1.HOlessequal","JungleMerged1.HOgreaterequal","JungleMerged1.HOequal"
"Amumu",0.5193,938550,487389,0.5161,756493,390426,1,0,0
"Camille",0.4578,73520,33657,0.4554,62040,28253,0.811,0.189,0.378
"Cho'Gath",0.4802,81007,38900,0.4832,63129,30504,0.1294,0.8706,0.2588
"Diana",0.4805,404133,194186,0.4775,336470,160664,0.995,0.005,0.01
"Dr. Mundo",0.5109,422746,215981,0.509,287584,146380,0.9422,0.0578,0.1157
"Ekko",0.5294,2377906,1258863,0.5288,2113195,1117458,0.8981,0.1019,0.2039
"Elise",0.5125,1447568,741879,0.5074,1310701,665050,1,0,0
"Evelynn",0.483,659260,318423,0.4813,522756,251602,0.967,0.033,0.066
"Fiddlesticks",0.4892,174745,85485,0.484,144624,69998,0.9983,0.0017,0.0034
"Gragas",0.4675,511898,239312,0.4596,415783,191094,1,0,0
"Graves",0.4994,538222,268788,0.4965,464295,230522,0.9981,0.0019,0.0038
"Hecarim",0.4892,603422,295194,0.4874,469761,228962,0.9678,0.0322,0.0644
"Ivern",0.5198,139344,72431,0.5111,117661,60137,1,0,0
"Jarvan IV",0.5092,1374283,699785,0.5073,1222987,620421,0.9989,0.0011,0.0022
"Karthus",0.5007,273010,136696,0.4963,247903,123034,0.9992,8e-04,0.0015
"Kayn",0.4979,1512971,753308,0.4966,1164213,578148,0.9825,0.0175,0.0349
"Kha'Zix",0.4923,1283700,631966,0.4946,1067947,528207,2e-04,0.9998,4e-04
"Kindred",0.4867,384153,186967,0.4849,322001,156138,0.9342,0.0658,0.1317
"Lee Sin",0.4799,4067819,1952146,0.4794,3374338,1617658,0.9129,0.0871,0.1742
"Malphite",0.4815,240986,116035,0.4784,189985,90889,0.9784,0.0216,0.0431
"Maokai",0.5029,44339,22298,0.5012,36948,18518,0.6861,0.3139,0.6279
"Master Yi",0.5169,2434514,1258400,0.5203,2100888,1093092,0,1,0
"Nidalee",0.4797,587478,281813,0.4767,515983,245969,0.9992,8e-04,0.0016
"Nocturne",0.5109,1242739,634915,0.5114,934311,477807,0.2323,0.7677,0.4645
"Nunu",0.5088,563121,286516,0.5097,422383,215289,0.188,0.812,0.376
"Olaf",0.4998,1184124,591825,0.4979,930662,463377,0.9969,0.0031,0.0061
"Pantheon",0.461,207929,95855,0.4651,180463,83933,0.0053,0.9947,0.0106
"Poppy",0.4939,108467,53572,0.4946,88212,43630,0.3783,0.6217,0.7566
"Rammus",0.5125,600971,307998,0.5065,476898,241549,1,0,0
"Rek'Sai",0.5038,587232,295847,0.5009,495437,248164,0.9987,0.0013,0.0026
"Rengar",0.4761,581469,276837,0.4761,535650,255023,0.4997,0.5003,0.9994
"Shaco",0.519,1074715,557777,0.518,948792,491474,0.9223,0.0777,0.1553
"Skarner",0.4921,110837,54543,0.4991,60785,30338,0.0028,0.9972,0.0055
"Taliyah",0.4889,133014,65031,0.4803,127519,61247,1,0,0
"Tryndamere",0.4592,118221,54287,0.4581,97573,44698,0.6953,0.3047,0.6094
"Twitch",0.4578,292907,134093,0.4545,250844,114009,0.9925,0.0075,0.0149
"Udyr",0.5039,388504,195767,0.506,286018,144725,0.0441,0.9559,0.0882
"Volibear",0.5238,487276,255235,0.5188,354155,183736,1,0,0
"Warwick",0.5204,1639588,853242,0.52,1334372,693873,0.7542,0.2458,0.4916
"Wukong",0.4708,188839,88905,0.4708,149381,70329,0.4989,0.5011,0.9977
"Xin Zhao",0.4959,768623,381160,0.4955,633914,314104,0.6816,0.3184,0.6369
"Zac",0.5191,943166,489597,0.515,816808,420656,1,0,0
