"JungleMerged8.champName","JungleMerged8.winRate.x","JungleMerged8.gamesPlayed.x","JungleMerged8.gamesWon.x","JungleMerged8.winRate.y","JungleMerged8.gamesPlayed.y","JungleMerged8.gamesWon.y","JungleMerged8.HOlessequal","JungleMerged8.HOgreaterequal","JungleMerged8.HOequal"
"Amumu",0.5292,1305008,690610,0.5258,1225528,644383,1,0,0
"Camille",0.4347,49038,21317,0.4369,47589,20792,0.2449,0.7551,0.4897
"Cho'Gath",0.4844,85325,41331,0.4877,94447,46062,0.0806,0.9194,0.1612
"Diana",0.4795,249470,119621,0.4769,215982,103002,0.9617,0.0383,0.0766
"Dr. Mundo",0.5243,233273,122305,0.5215,225730,117718,0.9712,0.0288,0.0575
"Ekko",0.5083,1840475,935513,0.5056,1718149,868696,1,0,0
"Elise",0.4957,1043101,517065,0.4958,945397,468728,0.4438,0.5562,0.8876
"Gragas",0.4502,514199,231492,0.4464,430915,192360,0.9999,1e-04,2e-04
"Graves",0.5115,1773705,907250,0.5108,2195415,1121418,0.9173,0.0827,0.1655
"Hecarim",0.4959,639795,317274,0.4951,599561,296843,0.813,0.187,0.374
"Ivern",0.5078,137768,69959,0.5046,125396,63275,0.9496,0.0504,0.1009
"Jarvan IV",0.5001,1500268,750284,0.4979,1223418,609140,0.9998,2e-04,3e-04
"Jax",0.4945,1207097,596909,0.4919,1102762,542449,1,0,1e-04
"Kha'Zix",0.4912,1177871,578570,0.4905,1153071,565581,0.8575,0.1425,0.2851
"Kindred",0.4869,405323,197352,0.4891,383799,187716,0.0254,0.9746,0.0508
"Lee Sin",0.4774,3349616,1599107,0.4762,3220801,1533745,0.999,0.001,0.0021
"Malphite",0.4715,244439,115253,0.4665,218043,101717,0.9997,3e-04,7e-04
"Nidalee",0.4647,383760,178333,0.4629,387714,179473,0.9434,0.0566,0.1132
"Nocturne",0.495,852617,422045,0.4962,805567,399722,0.0612,0.9388,0.1224
"Nunu",0.5179,623802,323067,0.5143,601407,309304,1,0,1e-04
"Olaf",0.4988,1033228,515374,0.4959,926355,459379,1,0,1e-04
"Pantheon",0.4473,228950,102409,0.4484,191583,85906,0.237,0.763,0.474
"Poppy",0.5069,144919,73459,0.504,149263,75229,0.9417,0.0583,0.1165
"Qiyana",0.3809,39992,15233,0.3803,38842,14772,0.5679,0.4321,0.8643
"Rammus",0.518,819229,424361,0.5165,758113,391565,0.9703,0.0297,0.0595
"Rek'Sai",0.4875,458197,223371,0.4888,446298,218150,0.1083,0.8917,0.2166
"Rengar",0.4747,591755,280906,0.4761,578109,275238,0.0647,0.9353,0.1293
"Sejuani",0.4954,656521,325241,0.4918,566683,278695,1,0,1e-04
"Shaco",0.5063,1089351,551538,0.5076,988510,501768,0.0305,0.9695,0.0611
"Shyvana",0.521,998084,520002,0.5192,849080,440842,0.9927,0.0073,0.0146
"Skarner",0.4945,108377,53592,0.4918,101320,49829,0.8915,0.1085,0.2169
"Sylas",0.4665,589709,275099,0.4651,598240,278241,0.937,0.063,0.1261
"Taliyah",0.4706,82696,38917,0.471,75769,35687,0.4376,0.5624,0.8752
"Tryndamere",0.4588,126865,58206,0.4528,117840,53358,0.9986,0.0014,0.0029
"Twitch",0.4544,169869,77188,0.4551,174744,79526,0.3393,0.6607,0.6787
"Udyr",0.5027,359268,180604,0.5025,340011,170856,0.5659,0.4341,0.8682
"Vi",0.5102,965234,492462,0.5092,872925,444493,0.9122,0.0878,0.1756
"Volibear",0.525,562567,295348,0.5221,519657,271313,0.9987,0.0013,0.0025
"Warwick",0.5232,1953768,1022211,0.5201,1842095,958074,1,0,0
"Xin Zhao",0.4994,741045,370078,0.4969,706964,351290,0.9987,0.0013,0.0026
"Zac",0.518,1608179,833037,0.5152,1417220,730152,1,0,0
