"JungleMerged13.champName","JungleMerged13.winRate.x","JungleMerged13.gamesPlayed.x","JungleMerged13.gamesWon.x","JungleMerged13.winRate.y","JungleMerged13.gamesPlayed.y","JungleMerged13.gamesWon.y","JungleMerged13.HOlessequal","JungleMerged13.HOgreaterequal","JungleMerged13.HOequal"
"Amumu",0.5206,804296,418716,0.5199,757362,393753,0.8088,0.1912,0.3824
"Cho'Gath",0.4827,51930,25067,0.4809,50898,24477,0.7187,0.2813,0.5626
"Diana",0.4667,107630,50231,0.467,98880,46177,0.4458,0.5542,0.8915
"Dr. Mundo",0.5115,165964,84891,0.5114,143018,73139,0.5233,0.4767,0.9534
"Ekko",0.5072,1630859,827172,0.5053,1552414,784435,0.9996,4e-04,7e-04
"Elise",0.498,633349,315408,0.5004,575864,288162,0.0042,0.9958,0.0084
"Evelynn",0.4888,708628,346377,0.4841,688318,333215,1,0,0
"Fiddlesticks",0.5093,854650,435273,0.5073,778488,394927,0.9947,0.0053,0.0107
"Gragas",0.445,258030,114823,0.4468,230184,102846,0.1032,0.8968,0.2064
"Graves",0.5046,1450964,732156,0.5004,1317080,659067,1,0,0
"Hecarim",0.5022,629466,316118,0.5084,633694,322170,0,1,0
"Ivern",0.5001,148579,74304,0.5007,147422,73814,0.3718,0.6282,0.7437
"Jarvan IV",0.4923,681428,335467,0.4905,577486,283257,0.9779,0.0221,0.0441
"Jax",0.4901,726856,356232,0.4898,669893,328114,0.6381,0.3619,0.7238
"Kayn",0.5084,2464162,1252780,0.5076,2343251,1189434,0.9603,0.0397,0.0794
"Kindred",0.483,321301,155188,0.4819,333572,160748,0.8134,0.1866,0.3732
"Lee Sin",0.4724,2495263,1178762,0.4723,2341797,1106031,0.5869,0.4131,0.8261
"Malphite",0.4644,135866,63096,0.4628,126829,58696,0.7947,0.2053,0.4105
"Master Yi",0.5093,1592777,811201,0.5089,1544838,786168,0.7606,0.2394,0.4788
"Nidalee",0.4673,564623,263848,0.4671,537834,251222,0.5833,0.4167,0.8334
"Olaf",0.4873,704180,343147,0.4947,638812,316020,0,1,0
"Pantheon",0.4469,112343,50206,0.4434,103836,46041,0.949,0.051,0.102
"Poppy",0.505,112416,56770,0.5029,101215,50901,0.8338,0.1662,0.3325
"Rammus",0.5226,567330,296487,0.5228,543950,284377,0.4167,0.5833,0.8335
"Rek'Sai",0.4877,348310,169871,0.4912,310427,152482,0.0023,0.9977,0.0046
"Rengar",0.4735,365825,173218,0.4724,343087,162074,0.8232,0.1768,0.3537
"Sett",0.5016,397739,199506,0.5023,409269,205576,0.2647,0.7353,0.5294
"Shaco",0.504,750874,378440,0.5024,784929,394348,0.9763,0.0237,0.0475
"Shyvana",0.52,680163,353685,0.5196,646184,335757,0.6778,0.3222,0.6443
"Skarner",0.4966,84079,41754,0.4908,89853,44100,0.9922,0.0078,0.0156
"Sylas",0.4647,447096,207766,0.4661,427274,199152,0.0951,0.9049,0.1902
"Taliyah",0.4651,72944,33926,0.4621,71761,33161,0.8732,0.1268,0.2536
"Tryndamere",0.453,74788,33879,0.4521,73467,33214,0.637,0.363,0.7259
"Twitch",0.4626,162685,75258,0.4596,133722,61459,0.9483,0.0517,0.1034
"Udyr",0.5104,280244,143037,0.5083,274897,139730,0.9414,0.0586,0.1172
"Warwick",0.5149,1206722,621341,0.5159,1151954,594293,0.0622,0.9378,0.1245
"Xin Zhao",0.4908,446011,218902,0.4896,399676,195681,0.8649,0.1351,0.2702
"Zac",0.5152,943653,486170,0.5138,874473,449304,0.9705,0.0295,0.0591
