"JungleMerged5.champName","JungleMerged5.winRate.x","JungleMerged5.gamesPlayed.x","JungleMerged5.gamesWon.x","JungleMerged5.winRate.y","JungleMerged5.gamesPlayed.y","JungleMerged5.gamesWon.y","JungleMerged5.HOlessequal","JungleMerged5.HOgreaterequal","JungleMerged5.HOequal"
"Camille",0.4494,53483,24035,0.4381,52037,22797,0.9999,1e-04,2e-04
"Cho'Gath",0.4926,76859,37861,0.4863,78621,38233,0.9936,0.0064,0.0129
"Diana",0.4882,315046,153805,0.4862,278890,135596,0.9381,0.0619,0.1239
"Dr. Mundo",0.5107,329804,168431,0.5146,215872,111088,0.0024,0.9976,0.0048
"Ekko",0.5098,1722436,878098,0.5094,1847293,941011,0.7751,0.2249,0.4499
"Elise",0.5078,1228812,623991,0.5028,1191729,599201,1,0,0
"Evelynn",0.478,557967,266708,0.4717,572431,270016,1,0,0
"Fiddlesticks",0.4697,174487,81957,0.4662,202402,94360,0.9842,0.0158,0.0317
"Gragas",0.4575,588266,269132,0.4525,505103,228559,1,0,0
"Ivern",0.4991,102420,51118,0.4989,96185,47987,0.5352,0.4648,0.9295
"Jarvan IV",0.5055,1468899,742528,0.5021,1457111,731615,1,0,0
"Jax",0.5005,1121848,561485,0.4981,1214544,604964,0.9999,1e-04,2e-04
"Karthus",0.4845,422935,204912,0.4878,389914,190200,0.0015,0.9985,0.0029
"Kha'Zix",0.4939,1018433,503004,0.4906,1071258,525559,1,0,0
"Lee Sin",0.4797,3640733,1746460,0.4765,3413416,1626493,1,0,0
"Malphite",0.4772,241532,115259,0.4719,267393,126183,0.9999,1e-04,2e-04
"Master Yi",0.5155,2492844,1285061,0.5164,2477243,1279248,0.0224,0.9776,0.0447
"Nidalee",0.4642,509619,236565,0.4644,451178,209527,0.4222,0.5778,0.8444
"Nocturne",0.5092,968233,493024,0.5049,960464,484938,1,0,0
"Nunu",0.5162,527134,272107,0.5167,560420,289569,0.3013,0.6987,0.6027
"Olaf",0.5027,1097788,551858,0.499,1104455,551123,1,0,0
"Pantheon",0.4557,243539,110981,0.451,258831,116733,0.9996,4e-04,8e-04
"Poppy",0.5062,190713,96539,0.5032,159671,80346,0.9617,0.0383,0.0766
"Qiyana",0.3746,104489,39142,0.3823,45841,17525,0.0023,0.9977,0.0046
"Rek'Sai",0.4919,548581,269847,0.4881,511406,249617,1,0,1e-04
"Rengar",0.4745,540372,256407,0.47,553158,259984,1,0,0
"Sejuani",0.5034,696649,350693,0.499,665097,331883,1,0,0
"Shyvana",0.5245,824591,432498,0.5233,850432,445031,0.94,0.06,0.12
"Skarner",0.4974,92893,46205,0.4969,101879,50624,0.5867,0.4133,0.8265
"Sylas",0.4787,287072,137421,0.4715,290486,136964,1,0,0
"Taliyah",0.4741,110333,52309,0.4737,102094,48362,0.5733,0.4267,0.8535
"Trundle",0.5296,639353,338601,0.525,719628,377805,1,0,0
"Tryndamere",0.4551,124748,56773,0.4531,123046,55752,0.8416,0.1584,0.3168
"Twitch",0.4516,156324,70596,0.449,171653,77072,0.9326,0.0674,0.1347
"Udyr",0.5088,344839,175454,0.5045,361906,182582,0.9998,2e-04,3e-04
"Vi",0.5119,860898,440694,0.508,927299,471068,1,0,0
"Volibear",0.5319,454746,241879,0.5288,523973,277077,0.9989,0.0011,0.0022
"Warwick",0.5291,1601353,847276,0.5261,1837206,966554,1,0,0
"Xin Zhao",0.4913,616890,303078,0.4835,622995,301218,1,0,0
"Zac",0.5258,1673342,879843,0.5204,1647592,857407,1,0,0
