"JungleMerged10.champName","JungleMerged10.winRate.x","JungleMerged10.gamesPlayed.x","JungleMerged10.gamesWon.x","JungleMerged10.winRate.y","JungleMerged10.gamesPlayed.y","JungleMerged10.gamesWon.y","JungleMerged10.HOlessequal","JungleMerged10.HOgreaterequal","JungleMerged10.HOequal"
"Amumu",0.5269,1081152,569659,0.5258,856127,450152,0.936,0.064,0.128
"Camille",0.4363,48363,21101,0.4475,41332,18496,4e-04,0.9996,8e-04
"Cho'Gath",0.4895,73641,36047,0.4885,52089,25445,0.6373,0.3627,0.7253
"Dr. Mundo",0.5202,214510,111588,0.5228,186548,97527,0.0502,0.9498,0.1003
"Ekko",0.508,1596728,811138,0.5078,1333055,676925,0.6337,0.3663,0.7327
"Elise",0.498,872166,434339,0.4994,675759,337474,0.0421,0.9579,0.0841
"Evelynn",0.4888,878989,429650,0.4886,774574,378457,0.6013,0.3987,0.7974
"Gragas",0.4454,335623,149486,0.452,274456,124054,0,1,0
"Ivern",0.5033,132363,66618,0.5026,164940,82899,0.6472,0.3528,0.7057
"Jarvan IV",0.4993,1008015,503302,0.4985,746990,372375,0.8525,0.1475,0.295
"Jax",0.4933,926391,456989,0.495,747228,369878,0.0144,0.9856,0.0288
"Karthus",0.4715,245793,115891,0.4757,188479,89659,0.003,0.997,0.006
"Kha'Zix",0.4896,953261,466717,0.4899,737107,361109,0.3494,0.6506,0.6989
"Kindred",0.4874,337222,164362,0.4897,303569,148658,0.0329,0.9671,0.0658
"Lee Sin",0.4756,2810630,1336736,0.4779,2316739,1107170,0,1,0
"Malphite",0.4689,172933,81088,0.4666,135224,63096,0.8974,0.1026,0.2052
"Master Yi",0.5128,1893868,971176,0.5139,1560656,802021,0.0209,0.9791,0.0418
"Nocturne",0.4966,677832,336611,0.4935,539861,266421,0.9997,3e-04,7e-04
"Nunu",0.5108,566309,289271,0.5125,455435,233410,0.0439,0.9561,0.0878
"Olaf",0.5003,842425,421465,0.503,746225,375351,3e-04,0.9997,7e-04
"Pantheon",0.4429,190913,84555,0.4492,129610,58221,2e-04,0.9998,4e-04
"Poppy",0.5046,148598,74983,0.5067,135971,68897,0.1315,0.8685,0.2629
"Qiyana",0.3826,30195,11553,0.3918,21046,8246,0.0177,0.9823,0.0355
"Rammus",0.5188,649086,336746,0.5221,530962,277215,2e-04,0.9998,4e-04
"Rek'Sai",0.4915,444716,218578,0.4934,372963,184020,0.0435,0.9565,0.087
"Rengar",0.4767,487118,232209,0.4803,400588,192402,4e-04,0.9996,7e-04
"Sejuani",0.4926,466420,229758,0.4934,342993,169233,0.2379,0.7621,0.4759
"Sett",0.506,329592,166774,0.5076,265176,134603,0.1103,0.8897,0.2207
"Shaco",0.5061,844734,427520,0.5092,702935,357935,1e-04,0.9999,1e-04
"Shyvana",0.5233,798646,417931,0.5229,677489,354259,0.6859,0.3141,0.6283
"Skarner",0.4988,87614,43702,0.5007,71358,35729,0.2257,0.7743,0.4513
"Sylas",0.4678,495974,232017,0.4715,389362,183584,3e-04,0.9997,5e-04
"Taliyah",0.4683,65662,30750,0.4721,51776,24443,0.0985,0.9015,0.1971
"Trundle",0.5209,969746,505141,0.5234,816121,427158,4e-04,0.9996,9e-04
"Tryndamere",0.4573,96183,43984,0.4566,77106,35207,0.6127,0.3873,0.7745
"Vi",0.5091,776323,395226,0.5093,599831,305494,0.4079,0.5921,0.8158
"Warwick",0.5186,1585553,822268,0.5188,1264837,656197,0.3688,0.6312,0.7377
"Wukong",0.5118,588191,301036,0.5156,455532,234872,1e-04,0.9999,1e-04
"Xin Zhao",0.4963,655214,325183,0.4957,503552,249611,0.739,0.261,0.522
"Zac",0.5151,1240630,639049,0.518,1032598,534886,0,1,0
