"JungleMerged11.champName","JungleMerged11.winRate.x","JungleMerged11.gamesPlayed.x","JungleMerged11.gamesWon.x","JungleMerged11.winRate.y","JungleMerged11.gamesPlayed.y","JungleMerged11.gamesWon.y","JungleMerged11.HOlessequal","JungleMerged11.HOgreaterequal","JungleMerged11.HOequal"
"Amumu",0.5258,856127,450152,0.5232,873615,457075,0.9997,3e-04,6e-04
"Camille",0.4475,41332,18496,0.4424,40162,17768,0.9281,0.0719,0.1438
"Cho'Gath",0.4885,52089,25445,0.4785,51629,24704,0.9994,6e-04,0.0013
"Diana",0.478,116064,55479,0.4734,119304,56479,0.9873,0.0127,0.0255
"Dr. Mundo",0.5228,186548,97527,0.5135,171175,87898,1,0,0
"Ekko",0.5078,1333055,676925,0.5066,1503649,761749,0.9781,0.0219,0.0437
"Elise",0.4994,675759,337474,0.4999,670708,335287,0.2808,0.7192,0.5617
"Evelynn",0.4886,774574,378457,0.4893,769912,376718,0.1921,0.8079,0.3843
"Gragas",0.452,274456,124054,0.4468,296954,132679,1,0,1e-04
"Ivern",0.5026,164940,82899,0.5043,163066,82234,0.1654,0.8346,0.3308
"Jarvan IV",0.4985,746990,372375,0.4974,739702,367928,0.9101,0.0899,0.1797
"Jax",0.495,747228,369878,0.4909,772109,379028,1,0,0
"Karthus",0.4757,188479,89659,0.4805,194832,93617,0.0015,0.9985,0.0029
"Kayn",0.5151,2214954,1140923,0.5129,2302060,1180727,1,0,0
"Kha'Zix",0.4899,737107,361109,0.4879,703372,343175,0.9918,0.0082,0.0163
"Kindred",0.4897,303569,148658,0.4875,317703,154880,0.9587,0.0413,0.0827
"Lee Sin",0.4779,2316739,1107170,0.4762,2558514,1218364,0.9999,1e-04,2e-04
"Malphite",0.4666,135224,63096,0.4656,146893,68393,0.7037,0.2963,0.5925
"Master Yi",0.5139,1560656,802021,0.5142,1668153,857764,0.295,0.705,0.59
"Nidalee",0.471,450169,212030,0.4686,496922,232858,0.9903,0.0097,0.0194
"Nocturne",0.4935,539861,266421,0.4918,567688,279189,0.9631,0.0369,0.0738
"Nunu",0.5125,455435,233410,0.5098,466955,238054,0.9952,0.0048,0.0095
"Olaf",0.503,746225,375351,0.4967,765541,380244,1,0,0
"Pantheon",0.4492,129610,58221,0.4471,120757,53990,0.8551,0.1449,0.2899
"Poppy",0.5067,135971,68897,0.5038,132166,66585,0.9338,0.0662,0.1325
"Rammus",0.5221,530962,277215,0.523,586117,306539,0.1707,0.8293,0.3415
"Rek'Sai",0.4934,372963,184020,0.4899,387758,189963,0.9989,0.0011,0.0023
"Rengar",0.4803,400588,192402,0.4774,389339,185870,0.9951,0.0049,0.0099
"Sejuani",0.4934,342993,169233,0.4921,326417,160630,0.8562,0.1438,0.2875
"Sett",0.5076,265176,134603,0.5029,334459,168199,0.9999,1e-04,3e-04
"Shaco",0.5092,702935,357935,0.5061,712460,360576,0.9999,1e-04,2e-04
"Shyvana",0.5229,677489,354259,0.5205,712462,370836,0.9977,0.0023,0.0046
"Skarner",0.5007,71358,35729,0.4974,81882,40728,0.9014,0.0986,0.1972
"Sylas",0.4715,389362,183584,0.4682,432430,202464,0.9986,0.0014,0.0028
"Taliyah",0.4721,51776,24443,0.4689,61872,29012,0.8582,0.1418,0.2836
"Tryndamere",0.4566,77106,35207,0.4525,80243,36310,0.9489,0.0511,0.1021
"Udyr",0.5151,303656,156413,0.5146,301895,155355,0.6514,0.3486,0.6972
"Vi",0.5093,599831,305494,0.5078,625234,317494,0.9515,0.0485,0.0969
"Warwick",0.5188,1264837,656197,0.5159,1273178,656833,1,0,0
"Wukong",0.5156,455532,234872,0.5146,515270,265158,0.8372,0.1628,0.3256
"Xin Zhao",0.4957,503552,249611,0.494,489035,241583,0.9549,0.0451,0.0901
"Zac",0.518,1032598,534886,0.5171,992781,513367,0.9,0.1,0.1999
