"JungleMerged9.champName","JungleMerged9.winRate.x","JungleMerged9.gamesPlayed.x","JungleMerged9.gamesWon.x","JungleMerged9.winRate.y","JungleMerged9.gamesPlayed.y","JungleMerged9.gamesWon.y","JungleMerged9.HOlessequal","JungleMerged9.HOgreaterequal","JungleMerged9.HOequal"
"Amumu",0.5258,1225528,644383,0.5269,1081152,569659,0.0475,0.9525,0.0951
"Camille",0.4369,47589,20792,0.4363,48363,21101,0.5747,0.4253,0.8506
"Cho'Gath",0.4877,94447,46062,0.4895,73641,36047,0.2326,0.7674,0.4653
"Dr. Mundo",0.5215,225730,117718,0.5202,214510,111588,0.8059,0.1941,0.3883
"Ekko",0.5056,1718149,868696,0.508,1596728,811138,0,1,0
"Elise",0.4958,945397,468728,0.498,872166,434339,0.0015,0.9985,0.003
"Evelynn",0.4902,849725,416535,0.4888,878989,429650,0.9671,0.0329,0.0657
"Gragas",0.4464,430915,192360,0.4454,335623,149486,0.809,0.191,0.382
"Graves",0.5108,2195415,1121418,0.5099,1907755,972764,0.9656,0.0344,0.0689
"Hecarim",0.4951,599561,296843,0.4968,561542,278974,0.0336,0.9664,0.0672
"Ivern",0.5046,125396,63275,0.5033,132363,66618,0.7459,0.2541,0.5082
"Jarvan IV",0.4979,1223418,609140,0.4993,1008015,503302,0.0187,0.9813,0.0374
"Jax",0.4919,1102762,542449,0.4933,926391,456989,0.0235,0.9765,0.0469
"Kha'Zix",0.4905,1153071,565581,0.4896,953261,466717,0.9031,0.0969,0.1938
"Kindred",0.4891,383799,187716,0.4874,337222,164362,0.9252,0.0748,0.1497
"Lee Sin",0.4762,3220801,1533745,0.4756,2810630,1336736,0.9294,0.0706,0.1412
"Malphite",0.4665,218043,101717,0.4689,172933,81088,0.0677,0.9323,0.1355
"Master Yi",0.5167,2260204,1167847,0.5128,1893868,971176,1,0,0
"Nocturne",0.4962,805567,399722,0.4966,677832,336611,0.3138,0.6862,0.6275
"Nunu",0.5143,601407,309304,0.5108,566309,289271,0.9999,1e-04,2e-04
"Olaf",0.4959,926355,459379,0.5003,842425,421465,0,1,0
"Pantheon",0.4484,191583,85906,0.4429,190913,84555,0.9997,3e-04,6e-04
"Poppy",0.504,149263,75229,0.5046,148598,74983,0.3717,0.6283,0.7433
"Qiyana",0.3803,38842,14772,0.3826,30195,11553,0.2683,0.7317,0.5366
"Rammus",0.5165,758113,391565,0.5188,649086,336746,0.0032,0.9968,0.0065
"Rek'Sai",0.4888,446298,218150,0.4915,444716,218578,0.0054,0.9946,0.0108
"Rengar",0.4761,578109,275238,0.4767,487118,232209,0.2687,0.7313,0.5374
"Sejuani",0.4918,566683,278695,0.4926,466420,229758,0.2096,0.7904,0.4192
"Sett",0.5055,412686,208613,0.506,329592,166774,0.334,0.666,0.6681
"Shaco",0.5076,988510,501768,0.5061,844734,427520,0.9786,0.0214,0.0429
"Shyvana",0.5192,849080,440842,0.5233,798646,417931,0,1,0
"Skarner",0.4918,101320,49829,0.4988,87614,43702,0.0012,0.9988,0.0024
"Sylas",0.4651,598240,278241,0.4678,495974,232017,0.0024,0.9976,0.0048
"Taliyah",0.471,75769,35687,0.4683,65662,30750,0.844,0.156,0.3121
"Tryndamere",0.4528,117840,53358,0.4573,96183,43984,0.0189,0.9811,0.0378
"Twitch",0.4551,174744,79526,0.4494,152416,68496,0.9995,5e-04,0.0011
"Vi",0.5092,872925,444493,0.5091,776323,395226,0.5508,0.4492,0.8984
"Volibear",0.5221,519657,271313,0.5228,448615,234536,0.2458,0.7542,0.4917
"Warwick",0.5201,1842095,958074,0.5186,1585553,822268,0.9972,0.0028,0.0056
"Xin Zhao",0.4969,706964,351290,0.4963,655214,325183,0.7576,0.2424,0.4848
"Zac",0.5152,1417220,730152,0.5151,1240630,639049,0.5645,0.4355,0.871
