"JungleMerged2.champName","JungleMerged2.winRate.x","JungleMerged2.gamesPlayed.x","JungleMerged2.gamesWon.x","JungleMerged2.winRate.y","JungleMerged2.gamesPlayed.y","JungleMerged2.gamesWon.y","JungleMerged2.HOlessequal","JungleMerged2.HOgreaterequal","JungleMerged2.HOequal"
"Amumu",0.5161,756493,390426,0.5172,849538,439381,0.0819,0.9181,0.1638
"Camille",0.4554,62040,28253,0.4549,60009,27298,0.5698,0.4302,0.8604
"Cho'Gath",0.4832,63129,30504,0.4782,69607,33286,0.9657,0.0343,0.0685
"Dr. Mundo",0.509,287584,146380,0.5166,322968,166845,0,1,0
"Elise",0.5074,1310701,665050,0.5067,1513900,767093,0.8798,0.1202,0.2404
"Evelynn",0.4813,522756,251602,0.4843,608418,294657,7e-04,0.9993,0.0014
"Fiddlesticks",0.484,144624,69998,0.4849,154222,74782,0.3117,0.6883,0.6233
"Gragas",0.4596,415783,191094,0.4617,569947,263145,0.0194,0.9806,0.0388
"Graves",0.4965,464295,230522,0.5001,575303,287709,1e-04,0.9999,3e-04
"Hecarim",0.4874,469761,228962,0.4904,499079,244748,0.0016,0.9984,0.0032
"Ivern",0.5111,117661,60137,0.5017,115448,57920,1,0,0
"Jarvan IV",0.5073,1222987,620421,0.5078,1431014,726669,0.2082,0.7918,0.4164
"Jax",0.501,1081229,541696,0.5057,1079872,546091,0,1,0
"Karthus",0.4963,247903,123034,0.4941,392649,194008,0.9568,0.0432,0.0865
"Kayn",0.4966,1164213,578148,0.4962,1244613,617577,0.7324,0.2676,0.5351
"Kha'Zix",0.4946,1067947,528207,0.4958,1176747,583431,0.0363,0.9637,0.0726
"Kindred",0.4849,322001,156138,0.4802,386366,185533,1,0,1e-04
"Lee Sin",0.4794,3374338,1617658,0.4796,3900453,1870657,0.2953,0.7047,0.5906
"Maokai",0.5012,36948,18518,0.5018,38685,19412,0.4339,0.5661,0.8677
"Master Yi",0.5203,2100888,1093092,0.5229,2381647,1245363,0,1,0
"Nidalee",0.4767,515983,245969,0.4714,606493,285901,1,0,0
"Nocturne",0.5114,934311,477807,0.5141,1042759,536082,1e-04,0.9999,2e-04
"Nunu",0.5097,422383,215289,0.5056,450249,227646,0.9999,1e-04,1e-04
"Olaf",0.4979,930662,463377,0.5035,1089340,548483,0,1,0
"Pantheon",0.4651,180463,83933,0.4621,211103,97551,0.9696,0.0304,0.0609
"Poppy",0.4946,88212,43630,0.4923,94412,46479,0.8375,0.1625,0.325
"Rammus",0.5065,476898,241549,0.5091,495595,252307,0.0052,0.9948,0.0104
"Rek'Sai",0.5009,495437,248164,0.4992,588855,293956,0.9611,0.0389,0.0778
"Rengar",0.4761,535650,255023,0.4794,619858,297160,2e-04,0.9998,4e-04
"Shaco",0.518,948792,491474,0.5187,1064641,552229,0.1605,0.8395,0.3211
"Shyvana",0.5195,486290,252628,0.5306,689020,365594,0,1,0
"Skarner",0.4991,60785,30338,0.499,97022,48414,0.5159,0.4841,0.9682
"Sylas",0.4772,169135,80711,0.4819,212433,102371,0.0019,0.9981,0.0039
"Taliyah",0.4803,127519,61247,0.477,149733,71423,0.9583,0.0417,0.0835
"Tryndamere",0.4581,97573,44698,0.4662,110624,51573,1e-04,0.9999,2e-04
"Twitch",0.4545,250844,114009,0.4681,186179,87150,0,1,0
"Udyr",0.506,286018,144725,0.5101,330248,168460,7e-04,0.9993,0.0013
"Vi",0.5174,876301,453398,0.5198,935107,486069,6e-04,0.9994,0.0012
"Volibear",0.5188,354155,183736,0.5217,368066,192020,0.0068,0.9932,0.0137
"Warwick",0.52,1334372,693873,0.5211,1477788,770075,0.0326,0.9674,0.0652
"Wukong",0.4708,149381,70329,0.4727,159846,75559,0.1456,0.8544,0.2913
"Xin Zhao",0.4955,633914,314104,0.4947,682279,337523,0.8205,0.1795,0.359
"Zac",0.515,816808,420656,0.5173,921867,476882,0.0012,0.9988,0.0025
