"TopMerged9.champName","TopMerged9.winRate.x","TopMerged9.gamesPlayed.x","TopMerged9.gamesWon.x","TopMerged9.winRate.y","TopMerged9.gamesPlayed.y","TopMerged9.gamesWon.y","TopMerged9.HOlessequal","TopMerged9.HOgreaterequal","TopMerged9.HOequal"
"Aatrox",0.4826,1079888,521154,0.4825,1019982,492141,0.5578,0.4422,0.8844
"Akali",0.4522,395614,178897,0.4543,350747,159344,0.0346,0.9654,0.0692
"Camille",0.4862,427839,208015,0.4889,449721,219869,0.0057,0.9943,0.0114
"Cassiopeia",0.5098,88900,45321,0.5125,78787,40378,0.135,0.865,0.27
"Cho'Gath",0.4844,508071,246110,0.4845,402182,194857,0.4627,0.5373,0.9254
"Darius",0.4982,2129628,1060981,0.4998,1854183,926721,7e-04,0.9993,0.0014
"Dr. Mundo",0.5157,557058,287275,0.5146,478457,246214,0.868,0.132,0.264
"Fiora",0.507,1380063,699692,0.5059,1332491,674107,0.965,0.035,0.07
"Gangplank",0.4652,521951,242812,0.4691,461243,216369,1e-04,0.9999,1e-04
"Garen",0.5153,2611427,1345668,0.5162,2302052,1188319,0.0232,0.9768,0.0464
"Hecarim",0.4959,49297,24446,0.4946,68840,34048,0.6698,0.3302,0.6604
"Heimerdinger",0.4996,155470,77673,0.5007,138031,69112,0.2763,0.7237,0.5527
"Illaoi",0.5117,826195,422764,0.5105,719809,367462,0.9319,0.0681,0.1363
"Jax",0.4951,1289572,638467,0.499,1181809,589723,0,1,0
"Jayce",0.4735,383590,181630,0.4754,352551,167603,0.0514,0.9486,0.1029
"Kalista",0.4623,67913,31396,0.4662,55650,25944,0.0856,0.9144,0.1712
"Kayle",0.504,561404,282948,0.5027,505332,254030,0.9103,0.0897,0.1795
"Kennen",0.4791,227702,109092,0.4824,198199,95611,0.0158,0.9842,0.0316
"Malphite",0.5134,1137022,583747,0.5135,1005084,516111,0.4416,0.5584,0.8833
"Mordekaiser",0.499,1969766,982913,0.4994,1705891,851922,0.2221,0.7779,0.4442
"Nasus",0.5257,1724815,906735,0.523,1437636,751884,1,0,0
"Neeko",0.5059,65899,33338,0.5056,52282,26434,0.5396,0.4604,0.9208
"Olaf",0.4909,193732,95103,0.4946,197649,97757,0.0103,0.9897,0.0206
"Ornn",0.4972,1095735,544799,0.498,972914,484511,0.1253,0.8747,0.2506
"Pantheon",0.458,208551,95516,0.4586,207143,94996,0.3483,0.6517,0.6965
"Poppy",0.4931,373417,184132,0.4948,366716,181451,0.0718,0.9282,0.1437
"Renekton",0.486,1718178,835035,0.4857,1510972,733879,0.705,0.295,0.59
"Rengar",0.5086,226781,115341,0.5142,187090,96202,2e-04,0.9998,3e-04
"Riven",0.4833,622631,300918,0.4863,579818,281965,5e-04,0.9995,0.001
"Rumble",0.4859,166826,81061,0.4859,143100,69532,0.5008,0.4992,0.9984
"Ryze",0.4647,201210,93502,0.4641,166816,77419,0.6419,0.3581,0.7162
"Sett",0.4972,1566813,779019,0.4987,1381927,689167,0.0051,0.9949,0.0101
"Shen",0.5105,940509,480130,0.5107,867184,442871,0.3941,0.6059,0.7881
"Shyvana",0.5135,95558,49069,0.5155,72668,37460,0.2086,0.7914,0.4173
"Singed",0.5221,389352,203281,0.5281,353341,186599,0,1,0
"Sion",0.5144,407391,209562,0.5144,363867,187173,0.5002,0.4998,0.9995
"Skarner",0.506,17727,8970,0.4992,16719,8346,0.8969,0.1031,0.2061
"Swain",0.4962,68401,33941,0.4962,62019,30774,0.5005,0.4995,0.999
"Sylas",0.4709,465667,219283,0.471,350719,165189,0.4643,0.5357,0.9285
"Tahm Kench",0.4977,110310,54901,0.4917,106020,52130,0.9974,0.0026,0.0053
"Teemo",0.5162,1345751,694677,0.516,1188609,613322,0.625,0.375,0.75
"Tryndamere",0.497,1025784,509815,0.4994,911407,455157,4e-04,0.9996,9e-04
"Urgot",0.5331,1069759,570289,0.5312,1015618,539496,0.997,0.003,0.006
"Vayne",0.4871,481365,234473,0.4877,391279,190827,0.2884,0.7116,0.5768
"Vladimir",0.4769,567358,270573,0.4769,480424,229114,0.5002,0.4998,0.9997
"Volibear",0.5212,421322,219593,0.5199,377408,196214,0.8774,0.1226,0.2452
"Yasuo",0.4871,529946,258137,0.4867,429258,208920,0.6517,0.3483,0.6965
"Yorick",0.5272,599411,316009,0.5256,535579,281500,0.9558,0.0442,0.0884
