"TopMerged11.champName","TopMerged11.winRate.x","TopMerged11.gamesPlayed.x","TopMerged11.gamesWon.x","TopMerged11.winRate.y","TopMerged11.gamesPlayed.y","TopMerged11.gamesWon.y","TopMerged11.HOlessequal","TopMerged11.HOgreaterequal","TopMerged11.HOequal"
"Aatrox",0.4837,828184,400593,0.4803,852118,409272,1,0,0
"Camille",0.4966,399084,198185,0.4928,458045,225725,0.9998,2e-04,5e-04
"Cho'Gath",0.4876,309640,150980,0.486,297862,144761,0.8936,0.1064,0.2128
"Darius",0.5027,1556454,782429,0.5017,1714049,859938,0.9646,0.0354,0.0709
"Dr. Mundo",0.5144,374516,192651,0.509,386796,196879,1,0,0
"Fiora",0.5064,1007403,510149,0.5051,976425,493192,0.9665,0.0335,0.067
"Garen",0.5186,1888084,979160,0.5202,2069711,1076664,7e-04,0.9993,0.0015
"Gnar",0.4915,428331,210525,0.4883,434662,212245,0.9985,0.0015,0.0029
"Gragas",0.4742,29795,14129,0.4695,42999,20188,0.8946,0.1054,0.2109
"Heimerdinger",0.5015,114320,57331,0.5033,123490,62153,0.1891,0.8109,0.3783
"Illaoi",0.5111,590020,301559,0.5074,602429,305672,1,0,1e-04
"Irelia",0.4659,790673,368375,0.4626,836979,387186,1,0,0
"Jax",0.5016,1011626,507432,0.5004,1060442,530645,0.958,0.042,0.084
"Jayce",0.4784,277056,132544,0.4764,278889,132863,0.9323,0.0677,0.1354
"Kayle",0.5034,393571,198124,0.5034,410816,206805,0.5001,0.4999,0.9997
"Kennen",0.4841,172506,83510,0.4819,182863,88122,0.9049,0.0951,0.1902
"Kled",0.5179,309696,160392,0.5118,304223,155701,1,0,0
"Malphite",0.5165,808020,417342,0.5144,815708,419600,0.9963,0.0037,0.0074
"Maokai",0.5194,547190,284210,0.5164,489012,252526,0.9989,0.0011,0.0023
"Mordekaiser",0.5019,1402746,704038,0.4996,1466441,732634,1,0,1e-04
"Nasus",0.5223,1107152,578265,0.5183,1072852,556059,1,0,0
"Neeko",0.5032,41386,20825,0.5083,41972,21334,0.0704,0.9296,0.1407
"Nocturne",0.5314,55420,29450,0.5322,61189,32565,0.3914,0.6086,0.7827
"Olaf",0.4985,166228,82865,0.4886,169313,82726,1,0,0
"Ornn",0.5044,758634,382655,0.5007,757160,379110,1,0,0
"Pantheon",0.4654,132347,61594,0.4627,130687,60469,0.9172,0.0828,0.1655
"Poppy",0.4938,362689,179096,0.4918,375844,184840,0.9572,0.0428,0.0856
"Quinn",0.5175,340119,176012,0.5163,337725,174367,0.8391,0.1609,0.3219
"Renekton",0.4867,1227114,597236,0.484,1225031,592915,1,0,0
"Rengar",0.5172,150998,78096,0.5115,153830,78684,0.9992,8e-04,0.0016
"Riven",0.4883,481934,235328,0.4803,500899,240582,1,0,0
"Rumble",0.4888,111109,54310,0.4856,117177,56901,0.9369,0.0631,0.1262
"Ryze",0.4691,126200,59200,0.4649,125087,58153,0.9825,0.0175,0.035
"Sett",0.5021,1140242,572516,0.4988,1209133,603116,1,0,0
"Shen",0.5141,767007,394318,0.5101,768790,392160,1,0,0
"Shyvana",0.5205,64234,33434,0.5147,67178,34577,0.9822,0.0178,0.0356
"Singed",0.5341,293903,156974,0.5294,338966,179449,0.9999,1e-04,2e-04
"Sion",0.5172,280888,145275,0.5111,268974,137473,1,0,0
"Skarner",0.5121,14392,7370,0.505,15081,7616,0.888,0.112,0.224
"Sylas",0.4738,274479,130048,0.4723,269940,127493,0.8659,0.1341,0.2683
"Tahm Kench",0.4971,92388,45926,0.4916,99932,49127,0.992,0.008,0.016
"Teemo",0.5154,967580,498691,0.5145,986970,507796,0.896,0.104,0.2079
"Tryndamere",0.4999,788257,394050,0.4984,776178,386847,0.9697,0.0303,0.0605
"Udyr",0.4526,27558,12473,0.4539,27916,12671,0.3803,0.6197,0.7605
"Urgot",0.5333,873817,466007,0.5307,887370,470927,0.9997,3e-04,5e-04
"Vladimir",0.4758,391742,186391,0.4783,407313,194818,0.0127,0.9873,0.0253
"Wukong",0.5203,527846,274638,0.518,664588,344257,0.9937,0.0063,0.0126
"Yorick",0.5254,419530,220421,0.5215,403474,210412,0.9998,2e-04,4e-04
