"TopMerged13.champName","TopMerged13.winRate.x","TopMerged13.gamesPlayed.x","TopMerged13.gamesWon.x","TopMerged13.winRate.y","TopMerged13.gamesPlayed.y","TopMerged13.gamesWon.y","TopMerged13.HOlessequal","TopMerged13.HOgreaterequal","TopMerged13.HOequal"
"Aatrox",0.4781,848383,405612,0.4796,727459,348889,0.0302,0.9698,0.0603
"Akali",0.4631,357889,165738,0.4627,375424,173709,0.6337,0.3663,0.7326
"Camille",0.494,612323,302488,0.498,665552,331445,0,1,0
"Cho'Gath",0.4852,311266,151026,0.4873,308459,150312,0.049,0.951,0.0981
"Darius",0.4956,1619122,802437,0.4999,1571155,785420,0,1,0
"Dr. Mundo",0.5102,356877,182079,0.5132,354686,182025,0.0057,0.9943,0.0114
"Fiddlesticks",0.5113,184949,94564,0.513,139186,71402,0.169,0.831,0.338
"Fiora",0.5034,939809,473100,0.502,865704,434583,0.97,0.03,0.06
"Gangplank",0.472,355268,167686,0.47,352827,165829,0.9539,0.0461,0.0922
"Garen",0.5225,2101412,1097988,0.524,2078222,1088988,0.0011,0.9989,0.0021
"Gragas",0.4753,34622,16456,0.478,44015,21039,0.2266,0.7734,0.4532
"Hecarim",0.4983,76890,38314,0.4977,70126,34902,0.5897,0.4103,0.8206
"Heimerdinger",0.5011,128251,64267,0.4977,129927,64665,0.958,0.042,0.084
"Illaoi",0.5016,618595,310287,0.5012,596439,298935,0.6703,0.3297,0.6593
"Irelia",0.4622,815045,376714,0.4622,756213,349522,0.4999,0.5001,0.9998
"Jax",0.5007,1043653,522557,0.4987,977408,487433,0.9978,0.0022,0.0045
"Jayce",0.4767,325526,155178,0.4766,336155,160211,0.5327,0.4673,0.9347
"Kayle",0.5064,455895,230865,0.5057,452184,228669,0.7478,0.2522,0.5044
"Kennen",0.4815,231706,111566,0.4855,260756,126597,0.0025,0.9975,0.005
"Kled",0.5093,300929,153263,0.5113,267916,136985,0.0661,0.9339,0.1322
"Lissandra",0.4877,23966,11688,0.4891,23468,11478,0.3801,0.6199,0.7603
"Malphite",0.5148,865269,445440,0.5157,900767,464526,0.1155,0.8845,0.231
"Maokai",0.5214,460400,240053,0.5211,502505,261855,0.6164,0.3836,0.7672
"Mordekaiser",0.4953,1517234,751486,0.4959,1508048,747841,0.1483,0.8517,0.2967
"Nasus",0.5204,1028402,535180,0.5199,1015567,527993,0.7628,0.2372,0.4745
"Neeko",0.5068,47839,24245,0.5028,52332,26313,0.8967,0.1033,0.2065
"Olaf",0.4861,143278,69647,0.489,138214,67587,0.0616,0.9384,0.1231
"Pantheon",0.4618,124538,57512,0.4586,119433,54772,0.9437,0.0563,0.1126
"Poppy",0.4958,354389,175706,0.4975,325625,161998,0.0808,0.9192,0.1616
"Quinn",0.516,404054,208492,0.5157,408950,210896,0.6064,0.3936,0.7873
"Renekton",0.4852,1195708,580158,0.4843,1118117,541504,0.9146,0.0854,0.1708
"Rengar",0.5117,148689,76084,0.5107,152564,77914,0.7088,0.2912,0.5824
"Rumble",0.4846,119917,58112,0.48,166078,79717,0.9925,0.0075,0.015
"Sett",0.4955,1241582,615204,0.4977,1260855,627528,3e-04,0.9997,5e-04
"Shen",0.5156,848544,437509,0.5142,879143,452055,0.9672,0.0328,0.0657
"Shyvana",0.5131,80266,41184,0.5141,61737,31739,0.3534,0.6466,0.7069
"Singed",0.5216,319308,166551,0.524,310915,162919,0.0283,0.9717,0.0566
"Sion",0.5155,274203,141352,0.5145,311310,160169,0.7779,0.2221,0.4443
"Skarner",0.4964,23460,11646,0.5022,25904,13009,0.0998,0.9002,0.1995
"Sylas",0.4721,276209,130398,0.4748,309713,147052,0.0193,0.9807,0.0387
"Tahm Kench",0.4949,114048,56442,0.5004,109998,55043,0.0046,0.9954,0.0092
"Teemo",0.5161,1006960,519692,0.5134,1104886,567248,1,0,1e-04
"Tryndamere",0.5028,732673,368388,0.5014,759754,380941,0.9563,0.0437,0.0874
"Udyr",0.4476,24987,11184,0.4514,25890,11687,0.1934,0.8066,0.3869
"Urgot",0.5305,866237,459539,0.5323,871538,463920,0.0087,0.9913,0.0174
"Vayne",0.4936,385672,190368,0.4914,387419,190378,0.9735,0.0265,0.053
"Vladimir",0.4816,400749,193001,0.4808,420861,202350,0.7661,0.2339,0.4678
"Yasuo",0.4833,394447,190636,0.4796,409784,196532,0.9996,4e-04,9e-04
"Zac",0.5189,83586,43373,0.5173,89917,46514,0.7479,0.2521,0.5042
