"TopMerged12.champName","TopMerged12.winRate.x","TopMerged12.gamesPlayed.x","TopMerged12.gamesWon.x","TopMerged12.winRate.y","TopMerged12.gamesPlayed.y","TopMerged12.gamesWon.y","TopMerged12.HOlessequal","TopMerged12.HOgreaterequal","TopMerged12.HOequal"
"Aatrox",0.4803,852118,409272,0.4781,848383,405612,0.998,0.002,0.0041
"Camille",0.4928,458045,225725,0.494,612323,302488,0.1096,0.8904,0.2193
"Cho'Gath",0.486,297862,144761,0.4852,311266,151026,0.7341,0.2659,0.5318
"Darius",0.5017,1714049,859938,0.4956,1619122,802437,1,0,0
"Dr. Mundo",0.509,386796,196879,0.5102,356877,182079,0.1502,0.8498,0.3005
"Fiora",0.5051,976425,493192,0.5034,939809,473100,0.9907,0.0093,0.0187
"Gangplank",0.4696,375601,176382,0.472,355268,167686,0.02,0.98,0.04
"Garen",0.5202,2069711,1076664,0.5225,2101412,1097988,0,1,0
"Gragas",0.4695,42999,20188,0.4753,34622,16456,0.0536,0.9464,0.1073
"Hecarim",0.4987,95236,47494,0.4983,76890,38314,0.5658,0.4342,0.8684
"Heimerdinger",0.5033,123490,62153,0.5011,128251,64267,0.8652,0.1348,0.2696
"Illaoi",0.5074,602429,305672,0.5016,618595,310287,1,0,0
"Irelia",0.4626,836979,387186,0.4622,815045,376714,0.6965,0.3035,0.6069
"Jax",0.5004,1060442,530645,0.5007,1043653,522557,0.3317,0.6683,0.6633
"Jayce",0.4764,278889,132863,0.4767,325526,155178,0.4085,0.5915,0.817
"Kayle",0.5034,410816,206805,0.5064,455895,230865,0.0026,0.9974,0.0053
"Kennen",0.4819,182863,88122,0.4815,231706,111566,0.6019,0.3981,0.7962
"Kled",0.5118,304223,155701,0.5093,300929,153263,0.9741,0.0259,0.0518
"Malphite",0.5144,815708,419600,0.5148,865269,445440,0.3022,0.6978,0.6043
"Maokai",0.5164,489012,252526,0.5214,460400,240053,0,1,0
"Mordekaiser",0.4996,1466441,732634,0.4953,1517234,751486,1,0,0
"Nasus",0.5183,1072852,556059,0.5204,1028402,535180,0.0012,0.9988,0.0023
"Neeko",0.5083,41972,21334,0.5068,47839,24245,0.6718,0.3282,0.6565
"Olaf",0.4886,169313,82726,0.4861,143278,69647,0.9183,0.0817,0.1633
"Pantheon",0.4627,130687,60469,0.4618,124538,57512,0.6754,0.3246,0.6492
"Poppy",0.4918,375844,184840,0.4958,354389,175706,3e-04,0.9997,6e-04
"Quinn",0.5163,337725,174367,0.516,404054,208492,0.6011,0.3989,0.7979
"Renekton",0.484,1225031,592915,0.4852,1195708,580158,0.0309,0.9691,0.0617
"Rengar",0.5115,153830,78684,0.5117,148689,76084,0.4564,0.5436,0.9127
"Riven",0.4803,500899,240582,0.4773,483273,230666,0.9986,0.0014,0.0029
"Rumble",0.4856,117177,56901,0.4846,119917,58112,0.6864,0.3136,0.6273
"Sett",0.4988,1209133,603116,0.4955,1241582,615204,1,0,0
"Shen",0.5101,768790,392160,0.5156,848544,437509,0,1,0
"Shyvana",0.5147,67178,34577,0.5131,80266,41184,0.7315,0.2685,0.5371
"Singed",0.5294,338966,179449,0.5216,319308,166551,1,0,0
"Sion",0.5111,268974,137473,0.5155,274203,141352,6e-04,0.9994,0.0012
"Skarner",0.505,15081,7616,0.4964,23460,11646,0.9501,0.0499,0.0999
"Sylas",0.4723,269940,127493,0.4721,276209,130398,0.5595,0.4405,0.881
"Tahm Kench",0.4916,99932,49127,0.4949,114048,56442,0.0643,0.9357,0.1285
"Teemo",0.5145,986970,507796,0.5161,1006960,519692,0.0119,0.9881,0.0238
"Tryndamere",0.4984,776178,386847,0.5028,732673,368388,0,1,0
"Udyr",0.4539,27916,12671,0.4476,24987,11184,0.9272,0.0728,0.1457
"Urgot",0.5307,887370,470927,0.5305,866237,459539,0.6043,0.3957,0.7914
"Vayne",0.4946,390313,193049,0.4936,385672,190368,0.8108,0.1892,0.3785
"Vladimir",0.4783,407313,194818,0.4816,400749,193001,0.0015,0.9985,0.003
"Wukong",0.518,664588,344257,0.518,800551,414685,0.5006,0.4994,0.9989
"Zac",0.5173,80425,41604,0.5189,83586,43373,0.2583,0.7417,0.5166
