"TopMerged5.champName","TopMerged5.winRate.x","TopMerged5.gamesPlayed.x","TopMerged5.gamesWon.x","TopMerged5.winRate.y","TopMerged5.gamesPlayed.y","TopMerged5.gamesWon.y","TopMerged5.HOlessequal","TopMerged5.HOgreaterequal","TopMerged5.HOequal"
"Aatrox",0.4642,1084698,503517,0.4766,1043733,497443,0,1,0
"Akali",0.4432,284485,126084,0.4462,295480,131843,0.0108,0.9892,0.0216
"Camille",0.4886,371776,181650,0.4825,422810,204006,1,0,0
"Cassiopeia",0.5073,72704,36883,0.5122,69552,35625,0.0322,0.9678,0.0644
"Cho'Gath",0.4843,377950,183041,0.4821,404177,194854,0.9741,0.0259,0.0518
"Dr. Mundo",0.5112,477018,243852,0.5159,520793,268677,0,1,0
"Fiora",0.5072,1201216,609257,0.5062,1332671,674598,0.9441,0.0559,0.1118
"Gangplank",0.4702,409358,192480,0.47,401072,188504,0.5713,0.4287,0.8574
"Gnar",0.4896,449246,219951,0.4882,467121,228048,0.9101,0.0899,0.1797
"Heimerdinger",0.4933,154232,76083,0.5005,146383,73265,0,1,1e-04
"Illaoi",0.5072,747269,379015,0.5129,793455,406963,0,1,0
"Irelia",0.4591,813000,373248,0.4559,991031,451811,1,0,0
"Jax",0.4919,1184177,582497,0.4938,1208583,596798,0.0016,0.9984,0.0033
"Jayce",0.4737,186907,88538,0.465,212361,98748,1,0,0
"Kalista",0.4418,180993,79963,0.4489,142728,64071,0,1,1e-04
"Kayle",0.5094,529124,269536,0.5085,551697,280538,0.8253,0.1747,0.3493
"Kennen",0.4796,254771,122188,0.482,255933,123360,0.0429,0.9571,0.0859
"Kled",0.5266,470438,247733,0.5206,499856,260225,1,0,0
"Malphite",0.5093,1007627,513184,0.5113,1066023,545058,0.002,0.998,0.004
"Maokai",0.5267,564364,297251,0.5304,716330,379941,0,1,0
"Mordekaiser",0.4999,1983632,991618,0.5022,2142364,1075895,0,1,0
"Nasus",0.5034,1201570,604870,0.5077,1422818,722365,0,1,0
"Olaf",0.4869,192951,93948,0.485,197731,95900,0.8824,0.1176,0.2352
"Pantheon",0.4618,331186,152942,0.4579,237198,108613,0.9982,0.0018,0.0036
"Poppy",0.4956,366431,181603,0.4924,392110,193075,0.9973,0.0027,0.0054
"Quinn",0.5026,332215,166971,0.4975,331614,164978,1,0,0
"Renekton",0.4872,1396627,680437,0.4869,1617080,787356,0.6986,0.3014,0.6029
"Rengar",0.5088,242600,123435,0.5086,214543,109117,0.5533,0.4467,0.8934
"Riven",0.4737,598330,283429,0.4769,625266,298189,2e-04,0.9998,4e-04
"Rumble",0.4851,191087,92696,0.4906,201586,98898,3e-04,0.9997,6e-04
"Shen",0.5147,924288,475731,0.5157,993232,512210,0.083,0.917,0.1661
"Singed",0.5169,377490,195125,0.5227,392802,205318,0,1,0
"Sion",0.5181,287409,148907,0.518,318992,165238,0.5313,0.4687,0.9374
"Skarner",0.5045,19034,9603,0.5105,17065,8712,0.1275,0.8725,0.2549
"Swain",0.4985,71436,35611,0.5017,71599,35921,0.1135,0.8865,0.2269
"Sylas",0.474,433298,205383,0.4703,411954,193742,0.9997,3e-04,7e-04
"Tahm Kench",0.4879,97823,47728,0.4827,108684,52462,0.9909,0.0091,0.0182
"Teemo",0.5134,1180604,606122,0.5174,1255938,649822,0,1,0
"Trundle",0.5034,195458,98394,0.5053,209898,106061,0.1139,0.8861,0.2278
"Tryndamere",0.4973,984316,489500,0.4966,1023241,508141,0.8394,0.1606,0.3213
"Vayne",0.4859,495767,240893,0.4846,485261,235157,0.9012,0.0988,0.1975
"Vladimir",0.474,627909,297629,0.4776,602941,287965,0,1,1e-04
"Volibear",0.5266,344440,181382,0.5245,376624,197539,0.9628,0.0372,0.0744
"Yasuo",0.4795,573311,274903,0.4824,592151,285654,9e-04,0.9991,0.0017
"Yorick",0.5291,478509,253179,0.5284,499204,263779,0.7561,0.2439,0.4879
"Zac",0.5097,195289,99539,0.5088,135643,69015,0.6952,0.3048,0.6096
