"TopMerged7.champName","TopMerged7.winRate.x","TopMerged7.gamesPlayed.x","TopMerged7.gamesWon.x","TopMerged7.winRate.y","TopMerged7.gamesPlayed.y","TopMerged7.gamesWon.y","TopMerged7.HOlessequal","TopMerged7.HOgreaterequal","TopMerged7.HOequal"
"Aatrox",0.4809,1132144,544448,0.4798,1128337,541376,0.9511,0.0489,0.0979
"Camille",0.4874,405261,197524,0.4837,420788,203535,0.9996,4e-04,8e-04
"Cassiopeia",0.5156,71050,36633,0.5108,81659,41711,0.9694,0.0306,0.0612
"Cho'Gath",0.4821,422935,203897,0.48,451934,216928,0.9753,0.0247,0.0494
"Darius",0.4981,2180145,1085930,0.4987,2218650,1106441,0.1041,0.8959,0.2081
"Dr. Mundo",0.5178,556365,288086,0.5169,593647,306856,0.8329,0.1671,0.3341
"Fiora",0.5061,1416049,716662,0.5042,1408346,710088,0.9993,7e-04,0.0014
"Gangplank",0.4695,429221,201519,0.4679,468701,219305,0.9354,0.0646,0.1291
"Gnar",0.4882,503685,245899,0.4877,510758,249097,0.6925,0.3075,0.6149
"Heimerdinger",0.4997,147666,73789,0.5015,154644,77554,0.1615,0.8385,0.3229
"Illaoi",0.5128,859897,440955,0.5131,894013,458718,0.3455,0.6545,0.691
"Irelia",0.4562,988752,451069,0.4575,957455,438036,0.0344,0.9656,0.0687
"Jax",0.4951,1258908,623285,0.4959,1317478,653337,0.0996,0.9004,0.1992
"Jayce",0.4674,248668,116227,0.4703,371616,174771,0.0124,0.9876,0.0248
"Kayle",0.5055,575052,290689,0.5041,595508,300196,0.935,0.065,0.13
"Kennen",0.4803,245174,117757,0.4786,245213,117359,0.8832,0.1168,0.2336
"Kled",0.5226,507811,265382,0.5206,519175,270283,0.9787,0.0213,0.0426
"Lissandra",0.4831,27902,13479,0.4798,29540,14173,0.7851,0.2149,0.4298
"Malphite",0.5092,1134059,577463,0.5118,1210424,619495,0,1,1e-04
"Maokai",0.5271,1002335,528331,0.5259,1195865,628905,0.9621,0.0379,0.0758
"Mordekaiser",0.5001,2157817,1079124,0.501,2124786,1064518,0.0312,0.9688,0.0625
"Neeko",0.5084,67843,34491,0.5015,68324,34264,0.9946,0.0054,0.0109
"Olaf",0.4888,205001,100204,0.4888,203911,99672,0.499,0.501,0.998
"Ornn",0.4945,1112491,550127,0.4959,1147513,569052,0.0177,0.9823,0.0353
"Pantheon",0.4594,222534,102232,0.4577,209868,96057,0.8686,0.1314,0.2629
"Poppy",0.4924,385533,189836,0.4915,371874,182776,0.783,0.217,0.434
"Quinn",0.4995,311722,155705,0.4994,322475,161044,0.5316,0.4684,0.9368
"Renekton",0.4908,1787648,877378,0.487,1886726,918836,1,0,0
"Rengar",0.5121,220722,113032,0.5128,213676,109573,0.3226,0.6774,0.6452
"Rumble",0.4898,198900,97421,0.4853,180348,87523,0.9972,0.0028,0.0056
"Shen",0.5156,1027313,529683,0.5102,1032529,526796,1,0,0
"Shyvana",0.5196,112718,58568,0.5154,132038,68052,0.9809,0.0191,0.0382
"Singed",0.5273,387853,204515,0.5245,388399,203715,0.9933,0.0067,0.0135
"Sion",0.5167,359648,185830,0.5157,401227,206913,0.808,0.192,0.384
"Skarner",0.5081,16949,8612,0.5027,16845,8468,0.8401,0.1599,0.3198
"Swain",0.4979,70790,35246,0.4967,71194,35362,0.6739,0.3261,0.6522
"Sylas",0.4717,445301,210048,0.4708,430019,202453,0.8002,0.1998,0.3997
"Tahm Kench",0.4888,111912,54703,0.4936,113897,56220,0.0113,0.9887,0.0225
"Teemo",0.517,1271266,657245,0.5159,1309235,675434,0.9615,0.0385,0.0769
"Trundle",0.5031,237097,119284,0.5035,230673,116144,0.3926,0.6074,0.7852
"Tryndamere",0.4986,1069036,533021,0.4969,1083110,538197,0.9937,0.0063,0.0126
"Udyr",0.4348,29344,12759,0.4443,31064,13802,0.0094,0.9906,0.0187
"Vayne",0.4855,476404,231294,0.4875,488092,237945,0.0247,0.9753,0.0494
"Vladimir",0.4763,579261,275902,0.4756,588937,280098,0.7758,0.2242,0.4483
"Volibear",0.5252,408241,214408,0.523,422137,220778,0.9776,0.0224,0.0449
"Yasuo",0.4844,581423,281641,0.4873,560964,273358,0.001,0.999,0.0019
"Yorick",0.5286,526521,278319,0.5268,587682,309591,0.9713,0.0287,0.0575
