"TopMerged4.champName","TopMerged4.winRate.x","TopMerged4.gamesPlayed.x","TopMerged4.gamesWon.x","TopMerged4.winRate.y","TopMerged4.gamesPlayed.y","TopMerged4.gamesWon.y","TopMerged4.HOlessequal","TopMerged4.HOgreaterequal","TopMerged4.HOequal"
"Aatrox",0.4638,1007305,467188,0.4642,1084698,503517,0.281,0.719,0.5619
"Akali",0.4353,238541,103837,0.4432,284485,126084,0,1,0
"Camille",0.4814,353789,170314,0.4886,371776,181650,0,1,0
"Cassiopeia",0.5167,67802,35033,0.5073,72704,36883,0.9998,2e-04,4e-04
"Cho'Gath",0.4877,347834,169639,0.4843,377950,183041,0.9981,0.0019,0.0038
"Darius",0.5065,1979041,1002384,0.514,2280171,1172008,0,1,0
"Dr. Mundo",0.5126,420871,215738,0.5112,477018,243852,0.907,0.093,0.186
"Fiora",0.4951,945576,468155,0.5072,1201216,609257,0,1,0
"Gangplank",0.4729,372041,175938,0.4702,409358,192480,0.9915,0.0085,0.017
"Heimerdinger",0.4933,137471,67814,0.4933,154232,76083,0.4988,0.5012,0.9976
"Illaoi",0.5016,718556,360428,0.5072,747269,379015,0,1,0
"Irelia",0.4437,654697,290489,0.4591,813000,373248,0,1,0
"Jax",0.4914,943805,463786,0.4919,1184177,582497,0.2343,0.7657,0.4685
"Karma",0.4858,63731,30961,0.4849,68373,33154,0.6294,0.3706,0.7413
"Kayle",0.5134,503242,258364,0.5094,529124,269536,1,0,0
"Kennen",0.4831,243875,117816,0.4796,254771,122188,0.9933,0.0067,0.0134
"Kled",0.5131,377865,193883,0.5266,470438,247733,0,1,0
"Malphite",0.5144,810235,416785,0.5093,1007627,513184,1,0,0
"Maokai",0.5247,410532,215406,0.5267,564364,297251,0.0254,0.9746,0.0507
"Mordekaiser",0.5014,1787974,896490,0.4999,1983632,991618,0.9982,0.0018,0.0036
"Nasus",0.5144,1124193,578285,0.5034,1201570,604870,1,0,0
"Olaf",0.4792,171010,81948,0.4869,192951,93948,0,1,0
"Pantheon",0.4623,278820,128898,0.4618,331186,152942,0.651,0.349,0.6979
"Poppy",0.4936,313246,154618,0.4956,366431,181603,0.0501,0.9499,0.1002
"Quinn",0.5042,305127,153845,0.5026,332215,166971,0.8992,0.1008,0.2017
"Renekton",0.478,1132321,541249,0.4872,1396627,680437,0,1,0
"Rengar",0.5105,203140,103703,0.5088,242600,123435,0.8709,0.1291,0.2583
"Riven",0.4741,543843,257836,0.4737,598330,283429,0.6655,0.3345,0.669
"Rumble",0.4809,234308,112679,0.4851,191087,92696,0.0032,0.9968,0.0064
"Ryze",0.4539,294987,133895,0.4496,292137,131345,0.9995,5e-04,9e-04
"Shen",0.5188,732746,380149,0.5147,924288,475731,1,0,0
"Sion",0.5191,246680,128052,0.5181,287409,148907,0.7671,0.2329,0.4658
"Skarner",0.4976,24984,12432,0.5045,19034,9603,0.0751,0.9249,0.1503
"Swain",0.5044,71418,36023,0.4985,71436,35611,0.9871,0.0129,0.0259
"Tahm Kench",0.4875,77941,37996,0.4879,97823,47728,0.433,0.567,0.8661
"Teemo",0.5128,1012435,519177,0.5134,1180604,606122,0.1879,0.8121,0.3758
"Trundle",0.4914,143672,70600,0.5034,195458,98394,0,1,0
"Tryndamere",0.4929,848506,418229,0.4973,984316,489500,0,1,0
"Urgot",0.5122,445534,228203,0.5101,501172,255648,0.9794,0.0206,0.0413
"Vayne",0.4866,446702,217365,0.4859,495767,240893,0.7514,0.2486,0.4972
"Viktor",0.4975,35656,17739,0.4939,33870,16728,0.8297,0.1703,0.3406
"Vladimir",0.4792,633871,303751,0.474,627909,297629,1,0,0
"Volibear",0.5213,264022,137635,0.5266,344440,181382,0,1,0
"Wukong",0.4906,68468,33590,0.4981,74229,36973,0.0023,0.9977,0.0046
"Yasuo",0.4826,535763,258559,0.4795,573311,274903,0.9995,5e-04,0.0011
"Yorick",0.5269,449145,236655,0.5291,478509,253179,0.017,0.983,0.034
"Zac",0.5076,144298,73246,0.5097,195289,99539,0.1133,0.8867,0.2265
