"TopMerged2.champName","TopMerged2.winRate.x","TopMerged2.gamesPlayed.x","TopMerged2.gamesWon.x","TopMerged2.winRate.y","TopMerged2.gamesPlayed.y","TopMerged2.gamesWon.y","TopMerged2.HOlessequal","TopMerged2.HOgreaterequal","TopMerged2.HOequal"
"Aatrox",0.4617,844782,390036,0.4625,1110211,513473,0.1331,0.8669,0.2663
"Camille",0.4847,399788,193777,0.4862,438985,213435,0.0847,0.9153,0.1693
"Cassiopeia",0.5104,72932,37224,0.511,82514,42165,0.405,0.595,0.81
"Cho'Gath",0.4879,350876,171192,0.49,383921,188121,0.036,0.964,0.072
"Darius",0.4999,1792240,895941,0.504,2062355,1039427,0,1,0
"Dr. Mundo",0.5146,399499,205582,0.5173,435567,225319,0.0068,0.9932,0.0136
"Fiora",0.4946,1106661,547355,0.4976,1139018,566775,0,1,0
"Gangplank",0.4773,395626,188832,0.4739,443530,210189,0.9991,9e-04,0.0019
"Garen",0.5063,1726709,874233,0.5115,1895858,969731,0,1,0
"Gnar",0.4855,340589,165356,0.4856,397667,193107,0.466,0.534,0.9319
"Heimerdinger",0.4971,135157,67187,0.5044,147307,74302,1e-04,0.9999,1e-04
"Illaoi",0.5065,710624,359931,0.5069,767142,388864,0.3136,0.6864,0.6273
"Irelia",0.4496,604782,271910,0.4529,715211,323919,1e-04,0.9999,1e-04
"Jax",0.4901,873899,428298,0.4962,885597,439433,0,1,0
"Jayce",0.4548,136191,61940,0.4564,147892,67498,0.1964,0.8036,0.3928
"Kayle",0.5114,411757,210573,0.5154,545050,280919,1e-04,0.9999,1e-04
"Kennen",0.4833,269818,130403,0.485,319933,155168,0.0963,0.9037,0.1927
"Kled",0.5138,429053,220447,0.5161,461039,237942,0.015,0.985,0.03
"Lissandra",0.4832,22910,11070,0.4866,26407,12850,0.2244,0.7756,0.4487
"Lucian",0.4685,212844,99717,0.4674,258709,120921,0.7736,0.2264,0.4527
"Maokai",0.5103,168843,86161,0.5118,181314,92797,0.1874,0.8126,0.3749
"Mordekaiser",0.497,1730620,860118,0.5,1917384,958692,0,1,0
"Nasus",0.5222,912958,476747,0.5219,1067127,556934,0.6632,0.3368,0.6736
"Neeko",0.4944,40882,20212,0.4962,41269,20478,0.302,0.698,0.604
"Olaf",0.4782,186677,89269,0.4827,194786,94023,0.0027,0.9973,0.0054
"Ornn",0.5099,1204508,614179,0.5116,1526021,780712,0.0026,0.9974,0.0053
"Pantheon",0.4618,273900,126487,0.4643,320164,148652,0.0271,0.9729,0.0541
"Poppy",0.4845,255252,123670,0.4895,267919,131146,2e-04,0.9998,3e-04
"Quinn",0.5058,348209,176124,0.5067,372681,188837,0.2227,0.7773,0.4455
"Renekton",0.4832,1070721,517372,0.4831,1192790,576237,0.5595,0.4405,0.8811
"Rengar",0.5009,249375,124912,0.5116,229742,117536,0,1,0
"Riven",0.4771,658683,314258,0.4826,692982,334433,0,1,0
"Ryze",0.4509,327425,147636,0.4543,385990,175355,0.002,0.998,0.0041
"Shen",0.5096,652229,332376,0.5105,744821,380231,0.1443,0.8557,0.2886
"Singed",0.5334,376927,201053,0.5384,471836,254037,0,1,0
"Sion",0.5047,186517,94135,0.507,210580,106764,0.0739,0.9261,0.1479
"Skarner",0.4983,37051,18463,0.4986,31512,15712,0.4698,0.5302,0.9395
"Soraka",0.5532,421444,233143,0.5622,762656,428765,0,1,0
"Swain",0.5022,75522,37927,0.5029,80998,40734,0.3905,0.6095,0.781
"Sylas",0.4759,221252,105294,0.4814,251487,121066,1e-04,0.9999,2e-04
"Tahm Kench",0.4768,69100,32947,0.4804,76056,36537,0.0855,0.9145,0.171
"Teemo",0.5135,1013445,520404,0.5143,1091734,561479,0.1229,0.8771,0.2458
"Tryndamere",0.4933,753970,371933,0.4979,859695,428042,0,1,0
"Urgot",0.5101,465992,237703,0.5146,496252,255371,0,1,0
"Vayne",0.4848,407569,197589,0.4884,478054,233482,4e-04,0.9996,7e-04
"Vladimir",0.4762,606341,288740,0.479,703535,336993,7e-04,0.9993,0.0014
"Volibear",0.5111,221160,113035,0.5171,195685,101189,1e-04,0.9999,1e-04
"Wukong",0.5048,68502,34580,0.5088,75939,38638,0.0644,0.9356,0.1289
"Yasuo",0.4816,563524,271393,0.4851,605511,293733,1e-04,0.9999,2e-04
"Yorick",0.5308,448162,237884,0.5323,497328,264728,0.072,0.928,0.144
