"TopMerged6.champName","TopMerged6.winRate.x","TopMerged6.gamesPlayed.x","TopMerged6.gamesWon.x","TopMerged6.winRate.y","TopMerged6.gamesPlayed.y","TopMerged6.gamesWon.y","TopMerged6.HOlessequal","TopMerged6.HOgreaterequal","TopMerged6.HOequal"
"Aatrox",0.4766,1043733,497443,0.4809,1132144,544448,0,1,0
"Camille",0.4825,422810,204006,0.4874,405261,197524,0,1,0
"Cassiopeia",0.5122,69552,35625,0.5156,71050,36633,0.1019,0.8981,0.2038
"Cho'Gath",0.4821,404177,194854,0.4821,422935,203897,0.5002,0.4998,0.9996
"Dr. Mundo",0.5159,520793,268677,0.5178,556365,288086,0.0243,0.9757,0.0485
"Fiora",0.5062,1332671,674598,0.5061,1416049,716662,0.566,0.434,0.8681
"Gangplank",0.47,401072,188504,0.4695,429221,201519,0.6762,0.3238,0.6476
"Gnar",0.4882,467121,228048,0.4882,503685,245899,0.4996,0.5004,0.9992
"Heimerdinger",0.5005,146383,73265,0.4997,147666,73789,0.6678,0.3322,0.6644
"Illaoi",0.5129,793455,406963,0.5128,859897,440955,0.5512,0.4488,0.8976
"Irelia",0.4559,991031,451811,0.4562,988752,451069,0.3357,0.6643,0.6714
"Jax",0.4938,1208583,596798,0.4951,1258908,623285,0.0206,0.9794,0.0412
"Jayce",0.465,212361,98748,0.4674,248668,116227,0.0519,0.9481,0.1038
"Kalista",0.4489,142728,64071,0.4443,143836,63906,0.9934,0.0066,0.0132
"Kayle",0.5085,551697,280538,0.5055,575052,290689,0.9993,7e-04,0.0015
"Kennen",0.482,255933,123360,0.4803,245174,117757,0.8859,0.1141,0.2282
"Kled",0.5206,499856,260225,0.5226,507811,265382,0.0222,0.9778,0.0445
"Lissandra",0.4853,28496,13829,0.4831,27902,13479,0.7004,0.2996,0.5991
"Malphite",0.5113,1066023,545058,0.5092,1134059,577463,0.9991,9e-04,0.0018
"Maokai",0.5304,716330,379941,0.5271,1002335,528331,1,0,0
"Mordekaiser",0.5022,2142364,1075895,0.5001,2157817,1079124,1,0,0
"Neeko",0.51,71891,36664,0.5084,67843,34491,0.7251,0.2749,0.5499
"Olaf",0.485,197731,95900,0.4888,205001,100204,0.008,0.992,0.016
"Ornn",0.4931,1118447,551506,0.4945,1112491,550127,0.0182,0.9818,0.0365
"Pantheon",0.4579,237198,108613,0.4594,222534,102232,0.154,0.846,0.3079
"Poppy",0.4924,392110,193075,0.4924,385533,189836,0.5004,0.4996,0.9991
"Quinn",0.4975,331614,164978,0.4995,311722,155705,0.0545,0.9455,0.1089
"Renekton",0.4869,1617080,787356,0.4908,1787648,877378,0,1,0
"Rengar",0.5086,214543,109117,0.5121,220722,113032,0.0105,0.9895,0.021
"Rumble",0.4906,201586,98898,0.4898,198900,97421,0.6938,0.3062,0.6123
"Sett",0.5018,1944230,975615,0.507,2044193,1036406,0,1,0
"Shen",0.5157,993232,512210,0.5156,1027313,529683,0.5565,0.4435,0.8871
"Singed",0.5227,392802,205318,0.5273,387853,204515,0,1,0
"Sion",0.518,318992,165238,0.5167,359648,185830,0.8578,0.1422,0.2845
"Skarner",0.5105,17065,8712,0.5081,16949,8612,0.6714,0.3286,0.6572
"Swain",0.5017,71599,35921,0.4979,70790,35246,0.9243,0.0757,0.1514
"Sylas",0.4703,411954,193742,0.4717,445301,210048,0.0974,0.9026,0.1949
"Tahm Kench",0.4827,108684,52462,0.4888,111912,54703,0.0021,0.9979,0.0041
"Teemo",0.5174,1255938,649822,0.517,1271266,657245,0.7374,0.2626,0.5253
"Trundle",0.5053,209898,106061,0.5031,237097,119284,0.9286,0.0714,0.1428
"Tryndamere",0.4966,1023241,508141,0.4986,1069036,533021,0.0019,0.9981,0.0038
"Vayne",0.4846,485261,235157,0.4855,476404,231294,0.1885,0.8115,0.3769
"Vladimir",0.4776,602941,287965,0.4763,579261,275902,0.9215,0.0785,0.1569
"Volibear",0.5245,376624,197539,0.5252,408241,214408,0.2674,0.7326,0.5348
"Yasuo",0.4824,592151,285654,0.4844,581423,281641,0.0151,0.9849,0.0303
"Yorick",0.5284,499204,263779,0.5286,526521,278319,0.4193,0.5807,0.8387
