"TopMerged8.champName","TopMerged8.winRate.x","TopMerged8.gamesPlayed.x","TopMerged8.gamesWon.x","TopMerged8.winRate.y","TopMerged8.gamesPlayed.y","TopMerged8.gamesWon.y","TopMerged8.HOlessequal","TopMerged8.HOgreaterequal","TopMerged8.HOequal"
"Aatrox",0.4798,1128337,541376,0.4826,1079888,521154,0,1,0
"Akali",0.4477,385791,172719,0.4522,395614,178897,0,1,1e-04
"Camille",0.4837,420788,203535,0.4862,427839,208015,0.0106,0.9894,0.0212
"Cassiopeia",0.5108,81659,41711,0.5098,88900,45321,0.6597,0.3403,0.6806
"Cho'Gath",0.48,451934,216928,0.4844,508071,246110,0,1,0
"Darius",0.4987,2218650,1106441,0.4982,2129628,1060981,0.8514,0.1486,0.2973
"Dr. Mundo",0.5169,593647,306856,0.5157,557058,287275,0.9009,0.0991,0.1982
"Fiora",0.5042,1408346,710088,0.507,1380063,699692,0,1,0
"Gangplank",0.4679,468701,219305,0.4652,521951,242812,0.9964,0.0036,0.0072
"Garen",0.5165,2754207,1422548,0.5153,2611427,1345668,0.9973,0.0027,0.0054
"Heimerdinger",0.5015,154644,77554,0.4996,155470,77673,0.8549,0.1451,0.2903
"Illaoi",0.5131,894013,458718,0.5117,826195,422764,0.9668,0.0332,0.0665
"Irelia",0.4575,957455,438036,0.4583,960412,440157,0.1332,0.8668,0.2663
"Jax",0.4959,1317478,653337,0.4951,1289572,638467,0.9017,0.0983,0.1966
"Jayce",0.4703,371616,174771,0.4735,383590,181630,0.0027,0.9973,0.0053
"Kayle",0.5041,595508,300196,0.504,561404,282948,0.5428,0.4572,0.9144
"Kennen",0.4786,245213,117359,0.4791,227702,109092,0.3655,0.6345,0.7311
"Kled",0.5206,519175,270283,0.5207,499229,259949,0.4598,0.5402,0.9196
"Malphite",0.5118,1210424,619495,0.5134,1137022,583747,0.0071,0.9929,0.0143
"Maokai",0.5259,1195865,628905,0.5279,1117926,590153,0.0012,0.9988,0.0023
"Mordekaiser",0.501,2124786,1064518,0.499,1969766,982913,1,0,1e-04
"Nasus",0.5272,1815032,956885,0.5257,1724815,906735,0.9976,0.0024,0.0047
"Neeko",0.5015,68324,34264,0.5059,65899,33338,0.0534,0.9466,0.1068
"Olaf",0.4888,203911,99672,0.4909,193732,95103,0.0929,0.9071,0.1858
"Ornn",0.4959,1147513,569052,0.4972,1095735,544799,0.0259,0.9741,0.0517
"Pantheon",0.4577,209868,96057,0.458,208551,95516,0.4237,0.5763,0.8475
"Poppy",0.4915,371874,182776,0.4931,373417,184132,0.0835,0.9165,0.167
"Renekton",0.487,1886726,918836,0.486,1718178,835035,0.9711,0.0289,0.0578
"Rengar",0.5128,213676,109573,0.5086,226781,115341,0.9973,0.0027,0.0053
"Riven",0.4798,697460,334641,0.4833,622631,300918,0,1,1e-04
"Rumble",0.4853,180348,87523,0.4859,166826,81061,0.3617,0.6383,0.7234
"Shen",0.5102,1032529,526796,0.5105,940509,480130,0.3366,0.6634,0.6733
"Shyvana",0.5154,132038,68052,0.5135,95558,49069,0.8143,0.1857,0.3714
"Singed",0.5245,388399,203715,0.5221,389352,203281,0.9829,0.0171,0.0342
"Sion",0.5157,401227,206913,0.5144,407391,209562,0.879,0.121,0.2421
"Skarner",0.5027,16845,8468,0.506,17727,8970,0.2694,0.7306,0.5388
"Swain",0.4967,71194,35362,0.4962,68401,33941,0.5731,0.4269,0.8539
"Sylas",0.4708,430019,202453,0.4709,465667,219283,0.462,0.538,0.924
"Tahm Kench",0.4936,113897,56220,0.4977,110310,54901,0.0263,0.9737,0.0526
"Teemo",0.5159,1309235,675434,0.5162,1345751,694677,0.3121,0.6879,0.6242
"Tryndamere",0.4969,1083110,538197,0.497,1025784,509815,0.4419,0.5581,0.8838
"Udyr",0.4443,31064,13802,0.4399,27369,12040,0.8571,0.1429,0.2858
"Vayne",0.4875,488092,237945,0.4871,481365,234473,0.6532,0.3468,0.6935
"Vladimir",0.4756,588937,280098,0.4769,567358,270573,0.0808,0.9192,0.1615
"Volibear",0.523,422137,220778,0.5212,421322,219593,0.9511,0.0489,0.0978
"Yasuo",0.4873,560964,273358,0.4871,529946,258137,0.5827,0.4173,0.8347
"Yorick",0.5268,587682,309591,0.5272,599411,316009,0.3317,0.6683,0.6633
