"MiddleBalanced6.champName","MiddleBalanced6.winRate.x","MiddleBalanced6.gamesPlayed.x","MiddleBalanced6.gamesWon.x","MiddleBalanced6.winRate.y","MiddleBalanced6.gamesPlayed.y","MiddleBalanced6.gamesWon.y"
"Akali",0.4333,669671,290168,0.4406,904651,398589
"Anivia",0.5153,361313,186185,0.5131,352537,180887
"Corki",0.4684,111023,52003,0.4774,193731,92487
"Galio",0.4922,383289,188655,0.523,815510,426512
"Morgana",0.5294,235363,124601,0.5276,237579,125347
"Nocturne",0.5332,371347,198002,0.5278,267369,141117
"Riven",0.4859,61192,29733,0.4913,62842,30874
"Ryze",0.4602,619913,285284,0.4595,548888,252214
"Talon",0.4963,1151800,571638,0.4898,956157,468326
"Twisted Fate",0.4862,717780,348985,0.4874,647532,315607
"Veigar",0.5127,1241391,636461,0.5095,1292359,658457
"Wukong",0.5526,402198,222255,0.5427,194908,105777
"Xerath",0.5107,639916,326805,0.5132,673819,345804
