"MiddleBalanced8.champName","MiddleBalanced8.winRate.x","MiddleBalanced8.gamesPlayed.x","MiddleBalanced8.gamesWon.x","MiddleBalanced8.winRate.y","MiddleBalanced8.gamesPlayed.y","MiddleBalanced8.gamesWon.y"
"Karthus",0.4739,48361,22918,0.4625,46941,21710
"Lissandra",0.4908,371289,182229,0.4919,492643,242331
"Orianna",0.5059,943240,477185,0.5069,814300,412769
"Quinn",0.5166,35456,18317,0.5249,44669,23447
"Ryze",0.4633,624196,289190,0.4636,611023,283270
