"MiddleBalanced4.champName","MiddleBalanced4.winRate.x","MiddleBalanced4.gamesPlayed.x","MiddleBalanced4.gamesWon.x","MiddleBalanced4.winRate.y","MiddleBalanced4.gamesPlayed.y","MiddleBalanced4.gamesWon.y"
"Aurelion Sol",0.5018,105403,52891,0.5088,110186,56063
"Jayce",0.4995,98820,49361,0.4986,103858,51784
"Lissandra",0.4875,236326,115209,0.4932,344093,169707
"Lux",0.5152,899245,463291,0.5142,1079906,555288
"Neeko",0.4987,268909,134105,0.5173,481435,249046
"Ornn",0.516,209325,108012,0.4868,136506,66451
"Sylas",0.4917,1162292,571499,0.4875,1582751,771591
