"MiddleBalanced9.champName","MiddleBalanced9.winRate.x","MiddleBalanced9.gamesPlayed.x","MiddleBalanced9.gamesWon.x","MiddleBalanced9.winRate.y","MiddleBalanced9.gamesPlayed.y","MiddleBalanced9.gamesWon.y"
"Annie",0.502,500515,251259,0.5239,702966,368284
"Diana",0.5253,1764696,926995,0.518,1457748,755113
"Irelia",0.4585,760376,348632,0.462,762085,352083
"Karthus",0.4625,46941,21710,0.4633,35790,16582
"Katarina",0.5082,1525250,775132,0.5049,1207572,609703
"Kled",0.5452,49644,27066,0.5469,42079,23013
"Lissandra",0.4919,492643,242331,0.4928,382630,188560
"Quinn",0.5249,44669,23447,0.5217,38357,20011
"Twisted Fate",0.4876,645978,314979,0.4917,828715,407479
