"MiddleBalanced13.champName","MiddleBalanced13.winRate.x","MiddleBalanced13.gamesPlayed.x","MiddleBalanced13.gamesWon.x","MiddleBalanced13.winRate.y","MiddleBalanced13.gamesPlayed.y","MiddleBalanced13.gamesWon.y"
"Cassiopeia",0.5051,621159,313747,0.505,536696,271031
"Karthus",0.4675,36144,16897,0.5235,128340,67186
"Lucian",0.4745,296111,140505,0.4752,180861,85945
"Nocturne",0.533,239042,127409,0.5376,262562,141153
"Nunu",0.495,150222,74360,0.5015,383420,192285
"Pyke",0.5282,221486,116989,0.5158,167521,86407
"Riven",0.4893,42601,20845,0.4965,53805,26714
"Ryze",0.4713,450026,212097,0.4694,376780,176861
"Syndra",0.479,896416,429383,0.4853,793338,385007
"Zed",0.4937,1644864,812069,0.5138,2103341,1080697
