"MiddleBalanced1.champName","MiddleBalanced1.winRate.x","MiddleBalanced1.gamesPlayed.x","MiddleBalanced1.gamesWon.x","MiddleBalanced1.winRate.y","MiddleBalanced1.gamesPlayed.y","MiddleBalanced1.gamesWon.y"
"Aurelion Sol",0.5234,148690,77824,0.523,127357,66608
"Azir",0.4537,236322,107219,0.4526,184795,83638
"Corki",0.4657,126225,58783,0.4641,87424,40573
"Jayce",0.4836,86428,41797,0.4767,78976,37648
"Karma",0.4829,58445,28223,0.4916,59365,29184
"Kassadin",0.4967,995170,494301,0.4994,784924,391991
"Mordekaiser",0.5229,242594,126852,0.5218,218313,113916
"Qiyana",0.4774,797590,380769,0.4654,690537,321376
"Sylas",0.4767,1074081,512014,0.4858,884373,429628
"Viktor",0.5089,303682,154544,0.5134,295439,151678
"Ziggs",0.5023,255291,128233,0.5107,356375,182001
