"MiddleBalanced3.champName","MiddleBalanced3.winRate.x","MiddleBalanced3.gamesPlayed.x","MiddleBalanced3.gamesWon.x","MiddleBalanced3.winRate.y","MiddleBalanced3.gamesPlayed.y","MiddleBalanced3.gamesWon.y"
"Akali",0.4161,698382,290597,0.4293,562135,241325
"Annie",0.5093,377967,192499,0.5086,336922,171359
"Aurelion Sol",0.5224,143148,74781,0.5018,105403,52891
"Azir",0.457,273346,124919,0.4591,251645,115530
"Corki",0.4779,132813,63471,0.4735,99930,47317
"Diana",0.5289,1583993,837774,0.5296,1470289,778665
"Ekko",0.5191,814265,422685,0.5195,887571,461093
"Galio",0.4935,386025,190503,0.4953,330196,163546
"Jayce",0.4799,82163,39430,0.4995,98820,49361
"Lux",0.5129,923434,473629,0.5152,899245,463291
"Malphite",0.5233,238815,124972,0.5217,243026,126787
"Rumble",0.5142,365097,187733,0.5133,319707,164106
"Sylas",0.4871,1101232,536410,0.4917,1162292,571499
