"MiddleBalanced11.champName","MiddleBalanced11.winRate.x","MiddleBalanced11.gamesPlayed.x","MiddleBalanced11.gamesWon.x","MiddleBalanced11.winRate.y","MiddleBalanced11.gamesPlayed.y","MiddleBalanced11.gamesWon.y"
"Akali",0.4442,751639,333878,0.4572,997034,455844
"Brand",0.4899,137632,67426,0.5001,165676,82855
"Cassiopeia",0.5108,635697,324714,0.5112,617488,315660
"Gangplank",0.4678,46597,21798,0.4673,39680,18542
"Lucian",0.4626,301903,139660,0.4667,273845,127803
"Lux",0.5228,872778,456288,0.5229,896626,468846
"Syndra",0.4928,1055368,520085,0.4926,1069157,526667
"Talon",0.4895,707374,346260,0.4919,733867,360989
"Viktor",0.5012,280512,140593,0.5036,428767,215927
"Yasuo",0.5144,2106352,1083507,0.5057,2116376,1070251
