"MiddleBalanced2.champName","MiddleBalanced2.winRate.x","MiddleBalanced2.gamesPlayed.x","MiddleBalanced2.gamesWon.x","MiddleBalanced2.winRate.y","MiddleBalanced2.gamesPlayed.y","MiddleBalanced2.gamesWon.y"
"Akali",0.4561,1218180,555612,0.4161,698382,290597
"Annie",0.5091,323168,164525,0.5093,377967,192499
"Azir",0.4526,184795,83638,0.457,273346,124919
"Corki",0.4641,87424,40573,0.4779,132813,63471
"Diana",0.537,1530161,821696,0.5289,1583993,837774
"Ekko",0.5191,706860,366931,0.5191,814265,422685
"Galio",0.488,289688,141368,0.4935,386025,190503
"Karma",0.4916,59365,29184,0.4945,60280,29808
"Malphite",0.523,199365,104268,0.5233,238815,124972
"Qiyana",0.4654,690537,321376,0.469,739611,346878
"Rumble",0.534,297854,159054,0.5142,365097,187733
"Viktor",0.5134,295439,151678,0.5118,386790,197959
"Ziggs",0.5107,356375,182001,0.5103,352623,179944
