"MiddleBalanced5.champName","MiddleBalanced5.winRate.x","MiddleBalanced5.gamesPlayed.x","MiddleBalanced5.gamesWon.x","MiddleBalanced5.winRate.y","MiddleBalanced5.gamesPlayed.y","MiddleBalanced5.gamesWon.y"
"Anivia",0.5172,330127,170742,0.5153,361313,186185
"Garen",0.5595,285557,159769,0.5451,268251,146224
"Lissandra",0.4932,344093,169707,0.4955,324248,160665
"Morgana",0.5166,198280,102431,0.5294,235363,124601
"Neeko",0.5173,481435,249046,0.5153,460492,237292
"Ornn",0.4868,136506,66451,0.485,98763,47900
"Ryze",0.4533,607921,275571,0.4602,619913,285284
"Twisted Fate",0.4888,522937,255612,0.4862,717780,348985
"Veigar",0.5034,967281,486929,0.5127,1241391,636461
"Wukong",0.5346,133662,71456,0.5526,402198,222255
"Xerath",0.5021,487454,244751,0.5107,639916,326805
